Region ID,Game ID,Hash ID,Blue Team,Red Team
TRLH3,1002520507,784c51d120e49dc5,Flash Wolves,Royal Never Give Up
TRLH3,1002520510,9c810841e86a3126,Fnatic,Team Liquid
TRLH1,1002570037,96ef92f00388f6bb,Fnatic,Royal Never Give Up
TRLH1,1002570044,96b40091f04419c4,Fnatic,Royal Never Give Up
TRLH1,1002570045,0d063e190a60b56d,Fnatic,Royal Never Give Up
TRLH1,1002570061,196a68c12837cb63,Flash Wolves,KING-ZONE DragonX
TRLH1,1002570067,2a3e85ceb95fee2f,Flash Wolves,KING-ZONE DragonX
TRLH1,1002570068,95f30292b7660f95,KING-ZONE DragonX,Flash Wolves
TRLH1,1002570069,5a5e013e490df6ba,Flash Wolves,KING-ZONE DragonX
TRLH1,1002570087,e506fdec16a5629d,Royal Never Give Up,KING-ZONE DragonX
TRLH1,1002570096,6c652054b242d072,Royal Never Give Up,KING-ZONE DragonX
TRLH1,1002570097,96b0da282b905451,Royal Never Give Up,KING-ZONE DragonX
TRLH1,1002570098,0fb783d881dfa330,Royal Never Give Up,KING-ZONE DragonX
