Region ID,Game ID,Hash ID,Blue Team,Red Team
TRLH1,1002440062,a3b08c115923f00d,Team Liquid,Team Solo Mid
TRLH1,1002440076,c426d3d50426edb3,100 Thieves,OpTic Gaming
TRLH1,1002440084,f0f86e52b6e472e9,Clutch Gaming,Golden Guardians
TRLH1,1002440095,fd3b9331ff5312e3,Echo Fox,FlyQuest
TRLH1,1002440106,d6441d4ec8f87534,Counter Logic Gaming,Cloud9
TRLH1,1002440127,361bcc2e848641d2,OpTic Gaming,Team Liquid
TRLH1,1002440132,23453515b5a50136,FlyQuest,Team Solo Mid
TRLH1,1002440143,7e985eeecd65e639,100 Thieves,Counter Logic Gaming
TRLH1,1002440150,74938e8b39d37fbc,Golden Guardians,Cloud9
TRLH1,1002440161,6ca37bd9371814a3,Echo Fox,Clutch Gaming
TRLH1,1002440178,8b42779646bf3b18,Clutch Gaming,Counter Logic Gaming
TRLH1,1002440188,af2e4c975e05a502,Team Solo Mid,OpTic Gaming
TRLH1,1002440193,e6bb75c66e412222,Cloud9,Echo Fox
TRLH1,1002440202,564bf4ca59969005,100 Thieves,Team Liquid
TRLH1,1002440210,334df4d6a99c27af,Golden Guardians,FlyQuest
TRLH1,1002440231,0a3f6359ee605695,Echo Fox,Team Solo Mid
TRLH1,1002440242,ed56a97e4ff2ad50,Cloud9,100 Thieves
TRLH1,1002440256,830f5bd17e0a9cc5,OpTic Gaming,FlyQuest
TRLH1,1002440271,fa90e65c833aefe5,Golden Guardians,Counter Logic Gaming
TRLH1,1002440282,de49732e5bf891d6,Team Liquid,Clutch Gaming
TRLH1,1002450006,274a25c8d63ab32a,Counter Logic Gaming,Echo Fox
TRLH1,1002450017,f19ac1e050614691,Cloud9,OpTic Gaming
TRLH1,1002450029,b7e9fb37726286db,Clutch Gaming,100 Thieves
TRLH1,1002450040,4cf4ec7d66032df8,FlyQuest,Team Liquid
TRLH1,1002450050,45e5ff4f68aa88e2,Team Solo Mid,Golden Guardians
TRLH1,1002450066,a5a94af197d7357b,Echo Fox,OpTic Gaming
TRLH1,1002450079,83d7ba716294292c,100 Thieves,Team Solo Mid
TRLH1,1002450088,917c2a13f2fa4174,Golden Guardians,Team Liquid
TRLH1,1002450096,7757a3fbe358375f,Clutch Gaming,Cloud9
TRLH1,1002450114,d21b6550a7b3c291,Counter Logic Gaming,FlyQuest
TRLH1,1002450127,1fcbb724621d97e2,Team Solo Mid,Clutch Gaming
TRLH1,1002450145,baea2c0400087e9a,Team Liquid,Cloud9
TRLH1,1002450156,141a7556cbd4e099,OpTic Gaming,Counter Logic Gaming
TRLH1,1002450163,56d9773bfbb68c84,100 Thieves,FlyQuest
TRLH1,1002450171,da8ff93d0741f444,Echo Fox,Golden Guardians
TRLH1,1002450187,1f4a375f66bc11aa,Cloud9,FlyQuest
TRLH1,1002450191,794140fc10a2e541,100 Thieves,Golden Guardians
TRLH1,1002450204,d2246188487f4164,Team Solo Mid,Counter Logic Gaming
TRLH1,1002450212,c3579a03ad8f2fbc,Team Liquid,Echo Fox
TRLH1,1002450220,919a5e168b3a0880,OpTic Gaming,Clutch Gaming
TRLH1,1002470009,cff40ff7500b8bd7,Counter Logic Gaming,Team Liquid
TRLH1,1002470017,81a3b0aefe564ea0,Echo Fox,100 Thieves
