,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,csDiffPerMinDeltas.30-end,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.20-30,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole
1,1,Blue,31,14,4,UNRANKED,G2 Wunder,23,Cho'Gath,TRUE,3800,3193,3190,3001,3083,3111,3340,6,1,10,5,2,1,1419,1,0,0,0,0,257459,165472,48052,43934,0,15566,8526,1411,5628,7417,1,45738,21912,2061,40,86,37173,13204,22130,1839,17844,15830,1,0,366,16,0,0,1526,18,4,0,27,7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,3,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,8429,76,19,19,8444,1610,0,0,8300,8400,SOLO,TOP,10.9,9.4,6.4,8.9,582.2,484.6,491.4,553.2,420.1,287.4,476.9,418.2,1.3,1.2,1.5,0.2,84.6,2.9,87.4,-33,468.4,314.7,1183.9,864.4,104.8,-23.2,807.9,130.7,1,FALSE,FALSE,2556,G2 Esports,TOP
2,2,Blue,113,11,4,UNRANKED,G2 Jankos,4,Sejuani,TRUE,3143,3190,3047,1409,3083,1057,3364,3,0,13,3,1,1,0,0,0,0,0,0,191357,72575,101335,17446,0,13281,5793,7451,36,6599,1,37301,15048,881,204,37,31125,13415,17319,390,15282,14570,1,0,80,149,98,17,763,18,18,0,104,44,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1202,0,0,8446,271,0,0,8429,76,19,15,8444,1236,0,0,8136,53,0,0,8105,5,0,0,8400,8100,NONE,JUNGLE,1.7,0.3,3.5,2.2,367.7,310.3,592.8,487,332,242.1,426.4,346.4,1.3,-0.3,2.6,1.3,-9.6,-15.9,90.5,104.5,354.7,605.1,813.2,998,-318.4,-40.3,-83.6,62.1,1,FALSE,FALSE,2556,G2 Esports,JUNGLE
3,3,Blue,13,4,7,UNRANKED,G2 Perkz,7,Ryze,TRUE,3040,3157,3047,3001,3135,3089,3363,4,1,11,2,1,2,1775,0,0,0,0,0,432321,404684,20469,7166,1333,22715,20229,2136,350,7426,1,30516,24820,13038,57,43,19289,8603,10571,115,20748,19885,1,0,452,75,43,23,104,18,2,0,15,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,3,0,0,8313,0,0,0,8304,9,3,0,8347,0,0,0,8234,29,0,0,8232,5,50,0,8300,8200,SOLO,MIDDLE,13.1,9.3,10.9,10.9,697.4,499.3,788.9,580.4,533.1,323.6,610.3,426.2,1.9,1.2,5.8,4.3,91.8,25,333.8,100,308.2,188.4,555.7,671.4,-125.9,-158.7,-671.9,-4.2,1,FALSE,FALSE,2556,G2 Esports,MID
4,4,Blue,110,4,7,UNRANKED,G2 Hjarnan,13,Varus,TRUE,3047,3153,3033,3156,3085,3124,3363,5,2,12,5,2,1,809,1,0,0,0,0,291366,36357,245397,9610,888,26902,4017,22090,794,4580,5,13143,17758,6778,55,27,9555,3665,5890,0,20122,17850,2,3,424,32,24,4,990,18,2,0,16,26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,8914,0,0,9101,3793,11320,0,9103,19,10,0,8014,607,0,0,8304,9,3,0,8313,0,0,0,8000,8300,DUO_CARRY,BOTTOM,11.6,8.5,9.9,9.6,404.6,319.3,588.1,448.4,428.8,294.1,564,479.4,1.45,1.05,-0.9,-0.25,-9.75,4.4,12.55,-82.95,193.5,246.4,62.2,434.9,-11.45,95.9,-65.6,33.35,1,FALSE,FALSE,2556,G2 Esports,BOTCARRY
5,5,Blue,223,4,14,UNRANKED,G2 Wadid,8,Tahm Kench,TRUE,0,3190,2303,3193,3109,3111,3364,0,3,13,0,0,0,960,0,0,0,0,0,46565,27283,8232,11050,0,3437,2535,662,240,5675,5,31698,4340,1799,99,9,18871,7827,10142,901,12638,12325,1,1,115,0,0,0,172,16,20,0,64,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,3,0,0,8345,4,0,0,8304,9,3,0,8339,0,0,0,8430,68,0,0,8444,1103,0,0,8300,8400,DUO_SUPPORT,BOTTOM,3.5,2.6,2.6,2.7,318.9,298.4,522.1,305.2,276.9,185.8,373.2,273.7,1.45,1.05,-0.9,-0.25,-9.75,4.4,12.55,-82.95,84.4,357.7,520.1,567.6,-11.45,95.9,-65.6,33.35,1,FALSE,FALSE,2556,G2 Esports,SUPPORT
6,6,Red,8,4,11,UNRANKED,MSF Alphari,4,Vladimir,FALSE,3092,3157,3065,3135,3151,3158,3340,0,3,5,0,0,0,1776,0,0,0,0,0,226768,187513,29837,9416,859,25351,23092,1333,926,25834,1,15392,1843,1189,44,6,23077,13354,9635,88,15880,14850,1,0,326,12,9,0,125,18,4,0,24,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,5,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,8435,25,0,0,8444,898,0,0,8300,8400,SOLO,TOP,9.6,8.2,4.9,8.7,497.6,481.7,404,586.2,385.7,293.9,389.8,380.5,-1.3,-1.2,-1.5,-0.2,-84.6,-2.9,-87.4,33,363.6,337.9,376,733.7,-104.8,23.2,-807.9,-130.7,1,FALSE,FALSE,2556,Misfits Gaming,TOP
7,7,Red,64,11,4,UNRANKED,MSF Maxlore,4,Lee Sin,FALSE,3071,3083,1408,0,3111,1011,3364,0,5,5,0,0,0,1404,0,0,0,0,0,199375,34911,144685,19778,0,5917,1009,4857,51,10943,1,33226,18692,115,134,11,37828,10528,25329,1970,12746,11500,0,0,30,186,123,17,1089,17,15,0,80,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,466,0,0,8143,212,0,0,8136,34,0,0,8105,3,0,0,8304,10,0,0,8313,0,0,0,8100,8300,NONE,JUNGLE,0.4,0.6,0.9,0.9,377.3,326.2,502.3,382.5,284.9,245.6,330.8,294.8,-1.3,0.3,-2.6,-1.3,9.6,15.9,-90.5,-104.5,673.1,645.4,896.8,935.9,318.4,40.3,83.6,-62.1,1,FALSE,FALSE,2556,Misfits Gaming,JUNGLE
8,8,Red,3,12,4,UNRANKED,MSF Sencux,4,Galio,FALSE,3025,1057,3111,1011,3194,3001,3363,3,6,4,2,2,1,1010,1,0,0,0,0,210718,191351,15387,3978,0,17291,16262,505,523,3681,4,87232,3682,0,22,75,35606,12218,21617,1770,14203,13970,0,0,310,8,8,0,519,18,4,0,15,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1202,0,0,8463,868,0,0,8435,81,0,0,8444,1235,0,0,8233,31,40,0,8243,15,0,0,8400,8200,SOLO,MIDDLE,11.2,8.1,5.1,6.6,605.6,474.3,455.1,480.4,360.2,309.4,325.1,343.7,-1.9,-1.2,-5.8,-4.3,-91.8,-25,-333.8,-100,434.1,347.1,1227.6,675.6,125.9,158.7,671.9,4.2,1,FALSE,FALSE,2556,Misfits Gaming,MID
9,9,Red,498,4,7,UNRANKED,MSF Hans Sama,4,Xayah,FALSE,3508,3139,3094,3031,3036,3006,3363,4,1,3,4,2,1,2020,1,0,0,0,0,435737,8057,415701,11978,971,31203,838,29155,1210,4270,3,10801,17677,4261,98,18,17027,3768,11161,2096,20024,18375,1,0,501,20,20,0,356,18,7,0,48,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1876,1053,823,8009,520,0,0,9104,16,20,0,8014,466,0,0,8139,1099,0,0,8136,31,0,0,8000,8100,DUO_CARRY,BOTTOM,11.4,9,13.4,11.9,418.1,322.1,649,516.5,431.8,292.4,553.8,508.3,-1.45,-1.05,0.9,0.25,9.75,-4.4,-12.55,82.95,168,200.6,445.7,408.2,11.45,-95.9,65.6,-33.35,1,FALSE,FALSE,2556,Misfits Gaming,BOTCARRY
10,10,Red,497,14,4,UNRANKED,MSF Mikyx,25,Rakan,FALSE,3190,2301,3800,0,3158,2424,3364,0,3,7,0,0,0,812,0,0,0,0,0,15924,7482,7451,991,0,5266,3635,1095,535,6086,5,16509,1612,699,141,26,12869,6172,5574,1122,10975,10620,0,0,32,0,0,0,90,16,30,0,88,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8313,0,0,0,8304,9,3,0,8347,0,0,0,8453,764,1252,0,8435,87,0,0,8300,8400,DUO_SUPPORT,BOTTOM,0.8,0,0.9,0.9,324.9,286.8,436.1,403,233.5,151.4,327.1,259,-1.45,-1.05,0.9,0.25,9.75,-4.4,-12.55,82.95,132.8,211.7,267.8,527.6,11.45,-95.9,65.6,-33.35,1,FALSE,FALSE,2556,Misfits Gaming,SUPPORT
11,1,Blue,150,4,12,UNRANKED,H2K Smittyj,7,Gnar,FALSE,1055,3143,0,3047,3071,3194,3340,0,4,2,0,0,0,1186,0,0,0,0,0,185595,17041,154513,14040,249,7123,1355,5768,0,352,1,17754,2770,401,18,15,18154,5831,12109,214,11456,10900,0,0,262,22,10,4,901,17,0,0,12,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,435,0,0,8224,438,0,0,8234,22,0,0,8237,474,0,0,8430,3,0,0,8444,716,0,0,8200,8400,SOLO,TOP,10,6.5,0,8.6,541.7,416.9,0,591.4,389.3,230,0,391.5,0.2,-3.1,0,-1.8,21.8,-52,0,28.3,366.5,311.1,0,659.1,12.6,128.6,0,345.2,2,FALSE,FALSE,1985,H2K,TOP
12,2,Blue,121,4,11,UNRANKED,H2K Santorin,4,Kha'Zix,FALSE,1408,3147,2424,3044,3047,3067,3364,1,3,1,0,1,0,925,0,0,0,0,0,111249,5256,88288,17704,0,5010,557,4424,28,9954,1,11839,14994,0,106,3,20555,5412,15061,82,9236,9075,0,0,25,111,79,5,338,13,8,0,58,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,284,0,0,8143,216,0,0,8136,27,0,0,8105,1,0,0,8313,0,0,0,8304,9,3,0,8100,8300,NONE,JUNGLE,0.4,0.5,0,1.2,360.2,285.8,0,249.2,286.9,248.8,0,260.9,0,0,0,0,0,0,0,0,532.9,661,0,611.2,0,0,0,0,2,FALSE,FALSE,1985,H2K,JUNGLE
