,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,G2 Esports,Blue,TRUE,1,2556,FALSE,FALSE,18,7,59,1219068,706371,423485,89206,81901,41100,33750,7048,31697,13,158396,83878,24557,455,202,116013,46714,66052,3245,86634,80460,1437,272,165,44,3555,88,46,0,226,111,40.8,30.1,2370.8,1911.9,1990.9,1333,1409.2,1712.3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,11,4,1,2,1
2,Misfits Gaming,Red,FALSE,1,2556,FALSE,FALSE,7,18,24,1088522,429314,613061,46141,85028,44836,36945,3245,50814,14,163160,43506,6264,439,136,126407,46040,73316,7046,73828,69315,1199,226,160,17,2179,87,60,0,255,99,33.4,25.9,2223.5,1891.1,1696.1,1292.7,1771.6,1742.7,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,0,1,3,0
3,H2K,Blue,FALSE,2,1985,FALSE,FALSE,3,17,7,650097,185790,416560,47743,38697,18257,19517,918,14598,13,69629,28780,5489,315,117,69330,26230,42689,411,55025,51085,976,168,120,9,2939,72,34,0,180,77,30.7,27.1,1989.1,1781.3,1713.5,1243.4,1817.2,1455,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,0,1,0,1
4,Team Vitality,Red,TRUE,2,1985,FALSE,FALSE,17,3,48,855870,397032,426987,31846,49658,23804,25440,411,18585,11,70463,47720,19092,350,62,61230,21360,38950,918,65596,57520,1094,218,134,32,1725,79,38,0,198,89,33.2,29.6,2217.9,1900.9,1788.1,1468.1,1545.2,1251.2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7,1,0,3,0
5,Unicorns of Love,Blue,FALSE,3,2032,FALSE,FALSE,4,12,4,687842,359477,277433,50927,56545,38191,13400,4951,16934,9,59165,16789,4929,269,65,74852,29504,44446,901,54080,52733,972,167,117,8,1834,75,30,0,146,36,31.4,24.2,2048.5,1883.7,1633.7,1226.7,1352,1404.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0
6,Giants Gaming,Red,TRUE,3,2032,FALSE,FALSE,12,4,28,828589,402396,381349,44842,52454,28228,23323,901,22402,16,116395,68092,28436,235,66,82675,42039,35683,4950,67692,63325,1041,237,156,37,2493,80,29,0,110,55,34.8,28.1,2155.8,1879.4,1960.5,1267.1,1848.4,1428.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,1,2,1
7,ROCCAT,Blue,FALSE,4,1833,FALSE,FALSE,3,14,7,643422,317687,289608,36123,40162,20002,19255,903,13340,8,47627,11132,2079,263,68,72993,30549,42187,255,49379,47375,884,175,147,0,2454,70,44,0,147,44,33.3,27.2,2129.8,1845.7,1664.6,1278.9,2037.3,1510.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
8,FC Schalke 04,Red,TRUE,4,1833,FALSE,FALSE,14,3,33,722736,300986,382562,39185,49638,28793,20586,255,27422,13,84591,53986,20783,275,110,69451,22311,46232,903,60692,53350,986,191,128,13,2874,77,33,0,129,49,35.5,27.7,2242.6,1843.9,1941.4,1354.4,1839.3,1915.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,1,1,1
9,Fnatic,Blue,TRUE,5,2439,FALSE,FALSE,10,6,27,1098689,555549,514469,28666,73149,45428,26957,762,19057,12,110893,98595,31686,458,97,69376,21952,45901,1517,81029,74025,1266,273,141,55,2766,85,45,0,192,68,35.4,29,2343.3,1912.7,1927,1338.9,1574.7,1057.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,2,4,1
10,Splyce,Red,FALSE,5,2439,FALSE,FALSE,6,10,18,943281,431007,474670,37598,40433,18530,20382,1519,23658,16,107499,17856,9533,319,87,94792,47473,46554,762,67450,64225,1274,174,133,12,2309,82,49,0,173,75,35,28.4,1997.4,1793.3,1617.3,1236.1,1860,1558.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
