,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,Alistar,SUPPORT,8,8,2249.6875,0.5,2.6875,5.9375,2.395348837,102879.625,8193.25,6293.75,88391.4375,4481.375,3586,449.125,445.4375,7212.6875,4.8125,27089.5625,1418.3125,611.5625,106.0625,26.0625,20771.5625,9138,10648,984.75,8929.625,8231.25,0.1875,0,58.25,0.5,0,0,70.0625,13.6875,21.875,0,68.375,14.1875,0.0625,0,0.3125,0,0.4375,2.0125,1.49375,268.3,273.2375,219.29375,163.35625,389.65625,260.91875
2,Anivia,MID,1,4,2473.4,2.4,2.2,4,2.909090909,391523,230269.4,12441.4,148811.4,26882.4,25701.4,772.2,408,11104,1,11907.4,14943.2,1920.6,40.2,44,23074.8,13515.2,8639,920.2,15301.4,14151,0.6,0.2,328,31,25.2,3.2,4057.4,17,7,0,17.6,6.2,0.2,0,0,0,0.2,10.54,8.58,553.92,500.42,388.1,302.72,390.58,172.94
3,Ashe,BOTCARRY,1,2,2369,2,1.666666667,5.333333333,4.4,294455.6667,6605.333333,275448,12401.66667,31500,3539.333333,27561,399,7525.666667,3,12414.66667,21490,5145,55.33333333,68.66666667,17745.33333,9048,8122,574.3333333,16702.33333,15733.33333,2.333333333,0.666666667,363.3333333,40,25,4.333333333,4198.666667,17,3.333333333,0,12.33333333,16,0,0,0,0,0,10.16666667,8.9,431.2,324.3,403.7333333,278.9666667,226.7,176.7333333
4,Aurelion Sol,MID,2,0,2204.5,5.5,1.5,10,10.33333333,322557.5,234712.5,10674.5,77170.5,23601,22344,1116.5,140,4122.5,1.5,7452.5,14027,3327,41,23.5,17402,9828.5,7260,313,16310.5,15062.5,1,0,325,25,18.5,4.5,452,18,5,0,19,9,0,0,0,0,0.5,10.05,7.95,534.45,440.2,412.7,271.65,489.25,319.15
5,Azir,MID,23,31,2344.240741,2.685185185,2.055555556,3.333333333,2.927927928,286828.7222,269628.0185,11698.14815,5501.685185,25117.55556,24053.25926,670.8148148,392.9259259,2111.351852,1.407407407,9747.592593,16704.85185,4522.62963,43.83333333,10.25925926,15620.87037,7948.018519,7376.796296,295.3703704,15996.38889,14816.57407,1.37037037,0.425925926,356.0185185,35.57407407,27.7037037,4.444444444,307.7592593,17.33333333,6.351851852,0,18.37037037,13.07407407,0.055555556,0.074074074,0.074074074,0.12962963,0.222222222,10.58518519,8.827777778,564.6388889,479.3925926,402.4018519,291.8111111,316.9185185,182.8185185
6,Brand,SUPPORT,0,1,2179,1,6,6,1.166666667,65019,57880,6519,619,28401,27804,301,296,889,1,5809,15883,2084,74,8,14671,5436,8832,402,8862,8185,1,0,30,0,0,0,23,13,12,0,42,10,0,0,1,0,0,0.5,0.6,180,299.3,215.8,212.4,431.1,142.5
7,Braum,SUPPORT,32,35,2285.029851,0.373134328,2.328358209,7.014925373,3.173076923,110537.0299,9233.61194,8568.283582,92734.14925,5026.149254,4221.268657,514.4029851,289.8358209,3733.641791,4.597014925,21329.9403,2018.313433,672.1641791,96.07462687,28.14925373,17593.83582,7989.552239,8703.522388,899.880597,9562.089552,8735.447761,0.298507463,0.059701493,76.52238806,0.417910448,0.119402985,0,511.761194,13.91044776,20.13432836,0,62.76119403,13.11940299,0.029850746,0.029850746,0.208955224,0.029850746,0.28358209,2.282089552,1.629850746,279.6776119,264.4462687,228.4507463,160.838806,328.038806,223.4746269
8,Caitlyn,BOTCARRY,21,20,2130.853659,2.926829268,1.12195122,3.512195122,5.739130435,296447.6585,59314.2439,230527.4146,6605.463415,23125.56098,4266.878049,17955.29268,902.7560976,3336.878049,2.902439024,9210.292683,19286.56098,8228.487805,49.2195122,22.73170732,9787.97561,4668.170732,4875.707317,243.4146341,15778.07317,14340.85366,2.707317073,0.341463415,357.6341463,29.02439024,18.3902439,4.609756098,274.5609756,16.07317073,5.048780488,0,15.43902439,16.26829268,0.048780488,0.317073171,0.12195122,0.146341463,0.195121951,10.87560976,9.312195122,442.8219512,330.8780488,422.3170732,308.4829268,178.8609756,168.9707317
9,Camille,JUNGLE,0,2,2571,2,4,4,1.5,196048,10628,145091,40328.5,9291,934.5,6027.5,2328,17746,1,26185.5,19909,830.5,132.5,11,37622,12994.5,24215.5,411,12795.5,12670.5,0.5,0,41.5,173,119,11.5,664.5,17,16.5,0,73,27,0,0.5,0,0,0,0.65,0.2,435.1,297.65,347.25,227.7,834.7,603.75
10,Camille,TOP,18,8,2099.538462,2.961538462,1.923076923,3.961538462,3.6,218036.4231,966,184245.0769,32824.19231,15933.5,938.9615385,10684,4309.576923,3446.538462,1,22922.11538,10763.19231,6159.538462,42.03846154,19.03846154,23889.26923,8085.692308,14686.53846,1116.5,14550.11538,13436.84615,1.846153846,0.576923077,306.0384615,21.23076923,9.615384615,5.230769231,329.6923077,17.11538462,5.307692308,0,19.46153846,7.615384615,0.115384615,0.115384615,0.076923077,0.153846154,0.153846154,9.523076923,8.084615385,532.2,454.8076923,394.5730769,278.1,452.6576923,358.55
