,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,FC Schalke 04,S04 Boris,1,1,SUPPORT,2179,0.5,3,6.5,2.333333333,21055.5,6129,5353.5,9572,3936.5,3418.5,517.5,0,3354,5,30757,836.5,186,74,23.5,19188,7111.5,10985.5,1090,9719.5,8287.5,0,0,92.5,0,0,0,497,13,13.5,0,51,11,0,0,0,0,0.5,3.6,2.45,276.1,256.5,265.55,173.05,399.6,313.55
2,FC Schalke 04,S04 Nukeduck,7,11,MID,2261.888889,2.777777778,1.555555556,3.722222222,4.178571429,276217.3333,224901.3889,16614.11111,34701.16667,22592.77778,21562.22222,680.6111111,349.1666667,3411.055556,1.333333333,11486.61111,10246.16667,3335,41.77777778,15.38888889,13939.5,6604.388889,6998.833333,335.5555556,15043.33333,14349.61111,1.055555556,0.388888889,342.1111111,19.77777778,16.83333333,2,545.6666667,17.16666667,7,0,18.94444444,10,0.111111111,0,0.055555556,0.166666667,0.222222222,10.62777778,8.961111111,557.4944444,487.9055556,406.7777778,301.0444444,285.5888889,193.7277778
3,FC Schalke 04,S04 Pride,7,11,JUNGLE,2261.888889,1.277777778,1.277777778,5.166666667,5.043478261,161785.4444,50518.33333,97322.16667,13944.27778,7722.944444,2641.611111,4580.777778,499.7777778,15466.72222,2.555555556,29449.88889,13909.22222,1370.888889,104.8333333,18.55555556,32147.55556,10654.11111,20596.05556,896.5555556,11682.55556,10997.22222,0.5,0.055555556,38.88888889,150.8888889,102.7777778,10.5,715.2777778,15.33333333,11.38888889,0,54.05555556,18.16666667,0.333333333,0.055555556,0.111111111,0.055555556,0.222222222,0.988888889,0.211111111,406.3333333,358.9888889,325.1555556,271.1,734.6666667,675.4277778
4,FC Schalke 04,S04 Upset,6,10,BOTCARRY,2272.25,3.5625,1.625,3.4375,4.307692308,296261.8125,84400.3125,205134.125,6726.5625,25472.4375,6510.375,17790.9375,1170.5,4229.4375,3.25,12295,16015,6499,62.875,14.0625,13123.875,6149.375,6750.4375,223.25,16806.4375,15538.5,2,0.125,381.125,30.8125,20.5625,3.625,506.0625,16.0625,3.5,0,18.125,20,0.0625,0.125,0.0625,0,0.25,11.00625,8.73125,430.3625,323.575,411.28125,296.05625,235.81875,206.825
5,FC Schalke 04,S04 Vander,1,1,BOTCARRY,2179,2.5,2,5,3.75,218323,71800,139327,7195.5,15878,5236.5,10382.5,259,4195,5,12296,11226.5,4047.5,46.5,19.5,8154.5,3395.5,4451,306.5,14676,12975,0.5,0.5,321.5,11.5,11.5,0,409.5,16,2,0,13.5,19,0,0,0,0.5,0,8.85,7.1,376.2,296.95,365.15,262.15,254.75,196.1
6,FC Schalke 04,S04 Vander,6,10,SUPPORT,2272.25,0.1875,2.3125,6.375,2.837837838,90525.5,9940.4375,8326.1875,72257.875,3984.375,3390.5,376.3125,216.875,5705.5,4.9375,20257.4375,1884.375,797.1875,84.375,20.3125,16067.5,7847.4375,7348.875,870.0625,9227.4375,8483.125,0.4375,0,59.75,0,0,0,212.125,13.9375,16.3125,0,57.875,10.0625,0,0.0625,0.125,0,0.3125,2.06875,1.28125,297.89375,267.225,229.76875,159.55625,327.8125,215.8375
7,FC Schalke 04,S04 Vizicsacsi,7,11,TOP,2261.888889,1.388888889,2.333333333,3.777777778,2.214285714,249370.9444,62407.66667,131973.8889,54988.61111,14803.61111,6802,6720.777778,1280.111111,8503.333333,1,39130.44444,6513.666667,3532.277778,47.16666667,46.83333333,31977.77778,12022,18577.83333,1377.222222,14148.94444,13560.11111,0.888888889,0.166666667,316.5,7.5,2.5,1.722222222,981.6111111,16.83333333,6.555555556,0,23.5,7.888888889,0,0.111111111,0.055555556,0.055555556,0.222222222,10.11666667,8.772222222,530.2333333,456.4388889,389.6944444,289.4222222,619.1388889,413.3111111
8,Fnatic,FNC Broxah,20,5,JUNGLE,2272.56,1.28,1.24,7.88,7.387096774,159525,53474.56,88834.68,17214.48,5939.92,2048.52,3459.6,431.08,12552.88,1.84,30051,14054.92,1610.4,94.48,15.64,27483.16,8935.12,17646.44,900.8,12352.32,11168.4,0.24,0.12,28.24,157.2,102.8,11.36,684.24,15.88,12.76,0,52.28,13.52,0.16,0,0.24,0,0.68,0.724,0.244,433.7,352.524,338.328,271.796,650.256,628.448
9,Fnatic,FNC Bwipo,8,1,TOP,1945.666667,2.666666667,2.888888889,6.111111111,3.038461538,272071,91427.88889,81102.88889,99539,14492,8220.333333,5603.555556,667.3333333,7121.777778,1,33430.33333,5435.888889,1998.777778,33.88888889,35.22222222,24014.22222,8548.555556,13907.88889,1556.888889,13187.33333,12316.22222,1.333333333,0.222222222,267.3333333,6.888888889,3.444444444,0.444444444,1425.333333,16.33333333,6.444444444,0,19,2.444444444,0.222222222,0.111111111,0.111111111,0.111111111,0.333333333,8.855555556,7.577777778,522.7444444,454.3555556,396.4,275.3444444,604.9555556,344.6777778
10,Fnatic,FNC Caps,20,5,MID,2272.56,3.76,1.76,5,4.977272727,358023.68,258643.6,23775.52,75603.72,26049.28,23777.68,1566.6,704.4,5169.2,1.36,14987.16,16724.44,6659.24,40.44,19.32,19326.56,9320.64,9429.68,575.52,16575.48,14680.08,1.96,0.68,343.92,33.84,25.08,6.8,331,17.48,3.96,0,17.56,10,0.08,0.08,0.16,0.32,0.36,10.624,8.536,581.452,473.516,433.688,296.48,436.644,289.152
