,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
1,41,1,Gangplank,1,FALSE,FALSE,LCK
2,81,2,Ezreal,1,FALSE,FALSE,LCK
3,113,3,Sejuani,1,FALSE,FALSE,LCK
4,429,4,Kalista,1,FALSE,FALSE,LCK
5,98,5,Shen,1,FALSE,FALSE,LCK
6,96,6,Kog'Maw,1,FALSE,FALSE,LCK
7,164,7,Camille,1,FALSE,FALSE,LCK
8,121,8,Kha'Zix,1,FALSE,FALSE,LCK
9,126,9,Jayce,1,FALSE,FALSE,LCK
10,44,10,Taric,1,FALSE,FALSE,LCK
11,223,1,Tahm Kench,2,FALSE,FALSE,LCK
12,429,2,Kalista,2,FALSE,FALSE,LCK
13,96,3,Kog'Maw,2,FALSE,FALSE,LCK
14,113,4,Sejuani,2,FALSE,FALSE,LCK
15,268,5,Azir,2,FALSE,FALSE,LCK
16,98,6,Shen,2,FALSE,FALSE,LCK
17,40,7,Janna,2,FALSE,FALSE,LCK
18,121,8,Kha'Zix,2,FALSE,FALSE,LCK
19,12,9,Alistar,2,FALSE,FALSE,LCK
20,59,10,Jarvan IV,2,FALSE,FALSE,LCK
21,90,1,Malzahar,3,FALSE,FALSE,LCK
22,12,2,Alistar,3,FALSE,FALSE,LCK
23,113,3,Sejuani,3,FALSE,FALSE,LCK
24,429,4,Kalista,3,FALSE,FALSE,LCK
25,268,5,Azir,3,FALSE,FALSE,LCK
26,81,6,Ezreal,3,FALSE,FALSE,LCK
27,121,7,Kha'Zix,3,FALSE,FALSE,LCK
28,201,8,Braum,3,FALSE,FALSE,LCK
29,102,9,Shyvana,3,FALSE,FALSE,LCK
30,98,10,Shen,3,FALSE,FALSE,LCK
31,12,1,Alistar,4,FALSE,FALSE,LCK
32,90,2,Malzahar,4,FALSE,FALSE,LCK
33,142,3,Zoe,4,FALSE,FALSE,LCK
34,113,4,Sejuani,4,FALSE,FALSE,LCK
35,429,5,Kalista,4,FALSE,FALSE,LCK
36,81,6,Ezreal,4,FALSE,FALSE,LCK
37,223,7,Tahm Kench,4,FALSE,FALSE,LCK
38,59,8,Jarvan IV,4,FALSE,FALSE,LCK
39,201,9,Braum,4,FALSE,FALSE,LCK
40,516,10,Ornn,4,FALSE,FALSE,LCK
41,98,1,Shen,5,FALSE,FALSE,LCK
42,429,2,Kalista,5,FALSE,FALSE,LCK
43,113,3,Sejuani,5,FALSE,FALSE,LCK
44,81,4,Ezreal,5,FALSE,FALSE,LCK
45,13,5,Ryze,5,FALSE,FALSE,LCK
46,164,6,Camille,5,FALSE,FALSE,LCK
47,107,7,Rengar,5,FALSE,FALSE,LCK
48,142,8,Zoe,5,FALSE,FALSE,LCK
49,76,9,Nidalee,5,FALSE,FALSE,LCK
50,110,10,Varus,5,FALSE,FALSE,LCK
51,164,1,Camille,6,FALSE,FALSE,LCK
52,429,2,Kalista,6,FALSE,FALSE,LCK
53,96,3,Kog'Maw,6,FALSE,FALSE,LCK
54,81,4,Ezreal,6,FALSE,FALSE,LCK
55,13,5,Ryze,6,FALSE,FALSE,LCK
56,113,6,Sejuani,6,FALSE,FALSE,LCK
57,90,7,Malzahar,6,FALSE,FALSE,LCK
58,150,8,Gnar,6,FALSE,FALSE,LCK
59,107,9,Rengar,6,FALSE,FALSE,LCK
60,142,10,Zoe,6,FALSE,FALSE,LCK
61,13,1,Ryze,7,FALSE,FALSE,LCK
62,429,2,Kalista,7,FALSE,FALSE,LCK
63,96,3,Kog'Maw,7,FALSE,FALSE,LCK
