,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,csDiffPerMinDeltas.30-end,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.20-30,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole
1,1,Blue,516,4,14,UNRANKED,KZ Rascal,4,Ornn,FALSE,3001,3143,1054,3025,2055,3047,3340,1,3,5,0,1,0,1201,0,0,0,0,0,282132,54016,97790,130325,0,8054,4676,3264,114,1269,1,34351,4033,703,36,22,17803,7956,9560,286,12887,10925,0,0,280,9,7,0,1084,17,11,0,24,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8345,4,0,0,8316,5872,0,0,8347,0,0,0,8430,21,0,0,8444,776,0,0,8300,8400,SOLO,TOP,8.9,8.8,2.4,9.1,517.8,483.7,379.6,533,353.7,309,340,397.6,-2.3,0.8,-2.8,-1.1,-79.1,52.1,-215.4,-17.9,609.2,188.5,1605.6,179.8,245.1,-50.3,277.4,-131.9,1,FALSE,FALSE,2132,KING-ZONE DragonX,TOP
2,2,Blue,76,4,11,UNRANKED,KZ Peanut,7,Nidalee,FALSE,1410,3174,3158,3135,3098,3100,3364,2,4,5,2,1,1,1295,0,0,0,0,0,185375,141473,28719,15183,980,13656,11790,1726,140,15005,4,13554,10310,2885,140,0,25881,7303,18538,40,13391,12840,0,0,49,165,119,3,302,15,3,0,72,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,879,0,0,8143,276,0,0,8136,47,0,0,8105,5,0,0,8304,9,0,0,8313,0,0,0,8100,8300,NONE,JUNGLE,1.9,0.2,1.4,2.1,500.2,346.4,500.8,368.3,439.7,265.8,442.2,355.2,0.6,-0.8,-2,-0.8,8.8,54.3,-134.4,82.6,637.8,641.3,1215.6,701.2,-209.1,117.9,-407.2,-185.6,1,FALSE,FALSE,2132,KING-ZONE DragonX,JUNGLE
3,3,Blue,69,4,1,UNRANKED,KZ Bdd,4,Cassiopeia,FALSE,3165,3040,3135,3102,0,1056,3340,4,3,1,2,1,1,1181,0,0,0,0,0,167228,156622,9735,870,0,15956,15691,264,0,3784,1,7357,6690,516,43,19,12678,7356,5256,66,13387,13925,0,0,293,12,12,0,1497,17,10,0,25,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,14,0,0,8226,1711,0,0,8210,0,0,0,8237,403,0,0,8009,5180,0,0,8014,447,0,0,8200,8000,SOLO,MIDDLE,10.1,8.6,4.2,8.5,542,446.8,409.2,468.6,388,308.2,400,385.9,-1.4,0.9,-2.6,-2.6,-127.2,39.6,-387.4,-177.6,195.4,316.8,1292.2,109.5,-324.9,-24.5,512.6,-364.6,1,FALSE,FALSE,2132,KING-ZONE DragonX,MID
4,4,Blue,498,7,4,UNRANKED,KZ PraY,4,Xayah,FALSE,3097,3094,3036,3508,3031,3047,3363,1,2,2,0,1,0,1903,0,0,0,0,0,229487,4315,222314,2857,719,18003,326,17263,412,3605,4,14398,10759,3145,38,19,12184,6830,5353,0,15001,14145,0,0,392,8,4,0,107,16,3,0,14,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,6895,0,0,9101,2479,6014,0,9103,17,50,0,8014,75,0,0,8313,0,0,0,8304,10,0,0,8000,8300,DUO_CARRY,BOTTOM,10.8,10.1,9.6,13.5,446.3,347.6,544.2,535.6,394.1,319.4,524.6,467.7,-0.1,0.1,-1.1,-0.6,29.3,-2.95,-283.2,12.4,439.4,155.9,1115.4,65.4,35.5,-17.25,827.1,-263.7,1,FALSE,FALSE,2132,KING-ZONE DragonX,BOTCARRY
5,5,Blue,223,14,4,UNRANKED,KZ GorillA,4,Tahm Kench,FALSE,3190,3109,3111,2303,0,2031,3364,0,2,5,0,0,0,1922,0,0,0,0,0,26645,7630,8182,10831,0,4501,3553,341,605,3987,5,27320,915,467,61,13,12755,5122,7251,381,10115,9100,1,0,122,0,0,0,98,14,16,0,47,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2332,0,0,8463,289,0,0,8429,71,13,13,8444,909,0,0,8345,4,0,0,8304,10,0,0,8400,8300,DUO_SUPPORT,BOTTOM,3.7,2.8,2.6,4.4,303,285.8,395,378.3,279.9,175.8,391.6,300.4,-0.1,0.1,-1.1,-0.6,29.3,-2.95,-283.2,12.4,306.9,266,1405.2,0,35.5,-17.25,827.1,-263.7,1,FALSE,FALSE,2132,KING-ZONE DragonX,SUPPORT
6,6,Red,150,12,4,UNRANKED,KSV CuVee,4,Gnar,TRUE,3143,2055,3071,3065,3111,3194,3340,4,2,4,3,3,1,1523,1,1,0,0,0,192231,18845,173252,132,387,13619,2542,11076,0,519,1,16480,8672,2925,42,33,15808,8242,7041,524,14810,13925,1,0,326,4,0,0,977,18,9,0,23,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,680,0,0,8224,200,0,0,8210,11,0,0,8236,28,0,0,8444,668,0,0,8429,71,15,17,8200,8400,SOLO,TOP,11.2,8,5.2,10.2,596.9,431.6,595,550.9,442.5,263.3,603.4,381.2,2.3,-0.8,2.8,1.1,79.1,-52.1,215.4,17.9,364.1,238.8,1328.2,311.7,-245.1,50.3,-277.4,131.9,1,FALSE,FALSE,2132,KSV,TOP
7,7,Red,59,11,4,UNRANKED,KSV Ambition,4,Jarvan IV,TRUE,2421,3083,3194,1409,1031,3047,3364,3,1,7,3,1,1,1894,0,0,0,0,0,162143,51630,91761,18751,0,6494,1270,5049,175,9549,1,28953,24154,678,93,14,30685,12634,17918,132,12110,11050,1,0,69,137,105,4,483,15,8,0,53,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,652,0,0,8143,219,0,0,8136,24,0,0,8105,5,0,0,8304,9,3,0,8345,4,0,0,8100,8300,NONE,JUNGLE,1.3,1,3.4,2.9,491.4,292.1,635.2,285.7,359.3,249,413.8,322.2,-0.6,0.8,2,0.8,-8.8,-54.3,134.4,-82.6,846.9,523.4,1622.8,886.8,209.1,-117.9,407.2,185.6,1,FALSE,FALSE,2132,KSV,JUNGLE
8,8,Red,13,4,7,UNRANKED,KSV Crown,7,Ryze,TRUE,3040,1058,3135,3001,3165,3111,3340,3,3,7,2,1,1,887,0,0,0,0,0,309307,288330,18474,2501,1020,18618,18043,464,110,4682,2,18565,10476,2585,56,25,17295,11029,6005,260,16057,15025,1,1,340,75,32,16,60,18,11,0,27,13,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8345,4,0,0,8304,10,0,0,8347,0,0,0,8237,499,0,0,8234,20,0,0,8300,8200,SOLO,MIDDLE,11.5,7.7,6.8,11.1,669.2,407.2,796.6,646.2,441.1,254.9,749.2,452.3,1.4,-0.9,2.6,2.6,127.2,-39.6,387.4,177.6,520.3,341.3,779.6,474.1,324.9,24.5,-512.6,364.6,1,FALSE,FALSE,2132,KSV,MID
9,9,Red,110,4,7,UNRANKED,KSV Ruler,4,Varus,TRUE,3124,3153,3094,3091,3047,3097,3363,3,1,3,3,2,1,935,1,0,0,0,0,233377,64892,160507,7977,475,13786,5371,8133,281,3609,3,20160,12043,11925,67,37,6039,1593,4382,64,16292,14225,2,0,398,28,24,4,923,17,5,0,13,26,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,8119,0,0,9101,5102,8192,0,9104,20,10,0,8014,322,0,0,8313,0,0,0,8304,10,0,0,8000,8300,DUO,BOTTOM,10.9,9.4,11.4,13.6,420.7,336.8,820.2,487,386.4,304.1,774.8,471.8,0.1,-0.1,1.1,0.6,-29.3,2.95,283.2,-12.4,335.9,205.1,26.4,49.7,-35.5,17.25,-827.1,263.7,1,FALSE,FALSE,2132,KSV,BOTCARRY
10,10,Red,201,4,14,UNRANKED,KSV CoreJJ,4,Braum,TRUE,3401,3190,2045,2055,3111,3067,3364,1,1,6,0,1,0,945,0,0,0,0,0,40442,8094,12644,19703,0,5308,5038,63,207,4608,5,31340,2278,1147,69,31,15538,5197,10050,291,10900,8750,1,0,143,0,0,0,492,15,14,0,38,17,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,3411,0,0,8446,685,0,0,8429,71,15,15,8444,1415,0,0,8345,4,0,0,8304,10,0,0,8400,8300,DUO,BOTTOM,3.8,3.3,3,5.5,270,302.5,685.4,402.1,259.6,179.6,463.4,339.4,0.1,-0.1,1.1,0.6,-29.3,2.95,283.2,-12.4,339.4,251.3,840,543.1,-35.5,17.25,-827.1,263.7,1,FALSE,FALSE,2132,KSV,SUPPORT
