,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,KING-ZONE DragonX,Blue,FALSE,1,2132,FALSE,FALSE,8,14,18,890867,364056,366740,160066,60170,36036,22858,1271,27650,15,96980,32707,7716,318,73,81301,34567,45958,773,64781,60935,1136,194,142,3,3088,79,43,0,182,80,35.4,30.5,2309.3,1910.3,1855.4,1378.2,2188.7,1568.5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,0,1,1,0
2,KSV,Red,TRUE,1,2132,FALSE,FALSE,14,8,27,937500,431791,456638,49064,57825,32264,24785,773,22967,12,115498,57623,19260,327,140,85365,38695,45396,1271,70169,62975,1276,244,161,24,2935,83,47,0,154,90,38.7,29.4,2448.2,1770.2,1888.9,1250.9,2406.6,1559.9,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,7,1,0,3,1
3,KSV,Blue,TRUE,2,1977,FALSE,FALSE,11,8,26,925678,239751,625783,60140,75280,26021,45210,4047,32382,12,93799,59430,27463,314,145,84203,33722,49871,609,70918,67703,1091,222,134,32,3878,80,38,0,144,71,39.4,27.9,2509.4,1903.5,1999.8,1351.9,2132.6,1411.3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,11,3,1,1,1
4,KING-ZONE DragonX,Red,FALSE,2,1977,FALSE,FALSE,8,11,14,1186889,478145,375442,333300,52239,30012,21616,609,57770,12,113314,21016,3795,273,65,98843,28338,66456,4046,61075,56775,1163,177,120,20,1495,80,33,0,167,58,39.6,31.5,2367.3,1981.1,1869.3,1399.3,3005.7,1411,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,0,2,0
5,KONGDOO MONSTER,Blue,TRUE,3,1770,FALSE,FALSE,10,0,25,787818,333432,279726,174654,39123,24317,11557,3243,17282,12,83351,64980,23096,253,75,51458,12995,37493,966,55810,46425,985,170,105,39,2509,71,34,0,136,74,36.4,28.7,2269.7,1973.2,1941.1,1382.3,1661.9,1260.2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,8,1,0,2,1
6,MVP,Red,FALSE,3,1770,FALSE,FALSE,0,10,0,790968,240852,378362,171750,28239,9019,18250,966,20870,12,44360,8799,3091,301,42,57689,25822,28546,3318,50088,47745,944,156,107,4,1050,69,30,0,164,57,36.1,27.7,2247.3,1843.8,1707.6,1346.6,1881.2,1635.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0
7,MVP,Blue,FALSE,4,2639,FALSE,FALSE,8,15,25,1577673,583217,792506,201944,110456,54218,49932,6302,55341,13,149003,41998,4377,508,125,136983,59932,69579,7470,79741,74458,1469,217,163,5,3249,88,41,0,289,95,32,29.7,2110.8,1880.7,1754.8,1339.7,1938.6,1513.8,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,0,0,2,1
8,KONGDOO MONSTER,Red,TRUE,4,2639,FALSE,FALSE,15,8,42,1226693,537484,476616,212589,101009,56138,37400,7468,52547,13,166320,86798,30001,412,102,140684,58756,75564,6359,88409,83415,1337,263,166,25,3187,88,55,0,212,129,36.9,32.9,2229.6,2011.6,1948,1413.4,2013.4,1383.6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,11,5,3,3,0
9,Afreeca Freecs,Blue,TRUE,5,2783,FALSE,FALSE,11,4,26,1491664,697194,565853,228610,75662,48686,24624,2348,56633,13,170025,83080,26760,569,80,133835,48839,76418,8574,95879,89600,1627,307,211,19,4743,90,92,0,308,132,41.3,30.5,2445.6,2007.5,1942.2,1338,2109.8,1585.7,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,1,3,2,0
10,kt Rolster,Red,FALSE,5,2783,FALSE,FALSE,4,11,4,1522116,494940,816816,210351,99919,42716,48627,8572,39581,11,108203,34325,7276,535,117,104031,52098,49580,2348,81519,80408,1487,259,202,4,2639,87,63,0,268,149,37.5,27.1,2249.9,1946.4,1753,1306.5,2160.5,1578.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0
