,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,Afreeca Freecs,AFs Aiming,5,2,BOTCARRY,2229.285714,4.714285714,1.428571429,4,6.1,272658,16879.57143,249609,6168.714286,19578.14286,2311,16947.14286,319.1428571,3488.285714,3.428571429,10063.14286,25781.14286,8283,66,16.14285714,8910.857143,3878.571429,4659.857143,371.8571429,17439.28571,15814.28571,2.571428571,0.714285714,373.7142857,42,23.85714286,7.857142857,819.7142857,17.28571429,8.571428571,0,20.85714286,25.57142857,0.285714286,0.428571429,0.142857143,0.142857143,0.285714286,10.41428571,8.771428571,423.3142857,321.7,423.6571429,286.3285714,243.9,141.9142857
2,Afreeca Freecs,AFs Kiin,32,17,TOP,2253.265306,1.673469388,1.428571429,3.714285714,3.771428571,265010.4082,70390.5102,179093,15525.93878,15554.18367,5875.285714,8691.510204,986.6938776,5390.571429,1.326530612,30460.36735,7149.591837,3577.040816,45.97959184,25.48979592,22810.7551,8487.734694,13442.65306,879.5510204,15596.5102,15077.73469,1.306122449,0.163265306,339.6734694,23.12244898,11.81632653,3.673469388,1236.204082,17.42857143,5.510204082,0,24.55102041,8.734693878,0.06122449,0.06122449,0.12244898,0.040816327,0.224489796,10.5,8.387755102,568.3,467.2040816,408.4285714,286.455102,471.3510204,294.8387755
3,Afreeca Freecs,AFs Kramer,27,15,BOTCARRY,2257.261905,2.642857143,1.023809524,3.880952381,6.372093023,292398.8333,54198.38095,230576.7143,7622.785714,20726.97619,5423.571429,14520.7381,782.1428571,3333.047619,3.261904762,12580.80952,23042.45238,8421.190476,68.71428571,17.26190476,11141.33333,4640.285714,6125.166667,374.952381,17365.40476,15983.30952,2.571428571,1,377.5952381,43.4047619,27.28571429,6.261904762,648.6666667,16.45238095,7.261904762,0,22.11904762,23.38095238,0.119047619,0.214285714,0.047619048,0.357142857,0.238095238,11.08333333,8.992857143,460.0761905,319.352381,433.4619048,301.8595238,223.85,149.8571429
4,Afreeca Freecs,AFs Kuro,32,17,MID,2253.265306,2.551020408,1.387755102,4.367346939,4.985294118,320247.4082,223533.6327,23114.28571,73598.69388,18425.16327,16868.42857,1023.163265,532.9387755,2928.44898,1.244897959,15840.28571,11633.85714,3934.530612,58.57142857,18.81632653,14598.08163,6685.22449,7420.306122,491.755102,15805.4898,14396.79592,1.183673469,0.244897959,347.122449,28.69387755,19.48979592,3.632653061,582.9183673,17.48979592,7.755102041,0,27.14285714,15.73469388,0.142857143,0.081632653,0.081632653,0.142857143,0.285714286,10.73877551,8.781632653,568.7612245,488.744898,416.9530612,296.7020408,322.9204082,209.6734694
5,Afreeca Freecs,AFs Mowgli,10,5,JUNGLE,2100.933333,1.266666667,1,6.6,7.866666667,155588.7333,59975.53333,79448.2,16163.86667,5585.266667,2272.2,2694,617.9333333,15539.46667,2,24298,16110.53333,1213.133333,81.4,18.46666667,27251.8,8278.733333,18478.33333,494,11421.06667,10338,0.8,0.133333333,36.2,144.6666667,100.4,5.666666667,749.8,15.06666667,18.53333333,0,43.86666667,19.13333333,0.2,0.066666667,0.133333333,0.066666667,0.4,1.02,0.246666667,431.6066667,340.46,340.08,257.9466667,761.2466667,679.5333333
6,Afreeca Freecs,AFs Spirit,22,12,JUNGLE,2320.470588,1.441176471,1.617647059,4.764705882,3.836363636,181794.9706,56420.76471,106112.2941,19261.02941,6641.088235,2201.294118,4032.029412,407.1470588,13791.58824,1.441176471,25977.38235,14545.70588,1456.264706,144.8529412,12.38235294,28319.11765,9234.764706,18279.58824,804.2058824,13231.55882,12147.14706,0.647058824,0.088235294,62.97058824,160.4117647,107.5,10.05882353,780.1176471,15.82352941,17.26470588,0,74.79411765,30.97058824,0.176470588,0.088235294,0.235294118,0,0.382352941,1.305882353,0.455882353,425.3470588,356.4382353,325.2411765,270.8470588,720.1558824,622.1235294
7,Afreeca Freecs,AFs TusiN,32,17,SUPPORT,2253.265306,0.306122449,1.714285714,6.551020408,4,104699.9592,12021.26531,10391.2449,82286.53061,4908.632653,4006.408163,587.5306122,314.1632653,5371.306122,4.367346939,23456.44898,2762.122449,1224.591837,93.85714286,25.14285714,15176.10204,7023.795918,7499.061224,652.6122449,10328.95918,9337.244898,0.551020408,0.020408163,79,0.530612245,0.183673469,0.020408163,215.8571429,14.40816327,19.36734694,0,64.7755102,13.89795918,0.020408163,0.020408163,0.346938776,0,0.469387755,2.475510204,1.508163265,301.6979592,290.7,256.8326531,166.544898,335.8081633,209.6918367
8,bbq OLIVERS,bbq Bono,2,6,JUNGLE,2513.875,1,2.25,5.25,2.777777778,193407.625,90810.125,83729.75,18867,9468,6366.875,2764.25,336.625,15836.625,2.375,29199.5,20339.875,974,138.625,9.375,35795.75,13827,21007,960.875,13555.25,12763.5,0.625,0.125,69.125,156,113.375,9.625,543,15.625,11.5,0,66.5,31.25,0.25,0.375,0,0,0.125,1.125,0.5,435.9625,360.1,320.4875,268.15,759.35,574.85
9,bbq OLIVERS,bbq Crazy,17,27,TOP,2390.159091,1.795454545,1.636363636,3.545454545,3.263888889,251887.4318,56712.61364,182936.3409,12237.75,17608.25,6852.795455,9744.431818,1010.431818,5596.931818,1.090909091,31156.70455,8174.181818,2975.409091,51.27272727,30.70454545,25897.09091,9116.727273,15364.38636,1415.318182,15586.52273,14514.77273,0.886363636,0.227272727,339.3181818,14.45454545,5.795454545,2.704545455,1017.340909,17.27272727,6.840909091,0,27.77272727,10.18181818,0.068181818,0.090909091,0.045454545,0.045454545,0.272727273,10.35,8.175,559.525,462.6590909,402.0840909,284.6022727,447.2477273,346.6068182
10,bbq OLIVERS,bbq Ghost,17,27,BOTCARRY,2390.159091,2.477272727,1.727272727,3.340909091,3.368421053,272180.1364,51008.61364,214285.9318,6884.818182,18727.5,4375.409091,13586.20455,765.1590909,3600,3.25,17128.11364,19603.97727,5836.136364,53.68181818,17.34090909,13588.27273,5497.363636,7557.704545,532.5227273,16737,15788.38636,1.886363636,0.5,380.6363636,26.29545455,17.61363636,2.931818182,693.5,16.31818182,5.977272727,0,18.25,19.25,0.136363636,0.136363636,0.113636364,0.090909091,0.272727273,10.575,8.693181818,431.35,317.6568182,390.1977273,291.2795455,252.85,163.4272727
