,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole,creepsPerMinDeltas.20-30,xpPerMinDeltas.20-30,goldPerMinDeltas.20-30,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.20-30,creepsPerMinDeltas.30-end,xpPerMinDeltas.30-end,goldPerMinDeltas.30-end,csDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.30-end,damageTakenPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.30-end
1,1,Blue,516,12,4,UNRANKED,JT Rest,4,Ornn,TRUE,1054,3047,3110,3083,3211,3067,3340,0,0,6,0,0,0,0,0,0,0,0,0,116640,51168,64997,474,0,8678,4935,3743,0,642,1,27138,3110,1734,19,23,12011,3377,8494,140,10560,9300,1,0,247,0,0,0,1579,16,2,0,14,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,765,0,0,8226,1485,0,0,8234,11,0,0,8237,441,0,0,8430,27,0,0,8444,738,0,0,8200,8400,SOLO,TOP,10.4,7.6,567.8,449.3,404.2,253.5,1.3,-0.4,74.4,-14.8,372.7,225.6,-70.2,-0.6,1,FALSE,FALSE,1705,J Team,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Blue,113,4,11,UNRANKED,JT Hana,4,Sejuani,TRUE,1409,3083,2055,3105,0,3111,3364,1,1,5,0,1,0,561,0,0,0,0,0,102702,35987,54255,12459,0,3159,1328,1830,0,8701,3,18205,17096,1701,97,11,22039,4911,16835,292,9498,8375,2,0,29,106,71,2,433,13,9,0,52,20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,278,0,0,8463,329,0,0,8429,64,13,13,8444,406,0,0,8143,136,0,0,8136,26,0,0,8400,8100,NONE,JUNGLE,1.5,0.1,355.6,308.9,361.7,231.6,0.3,-0.1,-54.2,-38.3,618.1,694,93.7,49,1,FALSE,FALSE,1705,J Team,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Blue,142,4,7,UNRANKED,JT FoFo,503,Zoe,TRUE,3092,3157,3165,1026,3020,1058,3363,3,0,4,3,1,1,0,0,0,0,0,0,326537,182002,14300,130233,187,19992,17280,1075,1636,2057,3,3445,7394,4173,30,33,5339,1777,3562,0,13584,11835,0,0,263,32,28,4,162,16,0,0,11,6,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8316,4730,0,0,8347,0,0,0,8226,1617,0,0,8237,437,0,0,8300,8200,SOLO,MIDDLE,11.1,9.9,606.5,529.7,548.1,318.4,1.7,1.1,106.8,59.5,147.5,65.6,-390.2,-128.9,1,FALSE,FALSE,1705,J Team,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Blue,498,4,7,UNRANKED,JT Lilv,546,Xayah,TRUE,3097,3047,3508,3031,3087,0,3363,3,0,4,3,1,1,1701,0,0,0,0,0,195739,22858,166712,6168,693,10280,1260,9019,0,2217,4,7017,34793,14743,20,5,3018,1373,1645,0,13015,11575,4,0,284,12,4,0,57,14,1,0,8,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,4126,0,0,9101,2015,3946,0,9104,16,40,0,8014,256,0,0,8313,0,0,0,8304,10,0,0,8000,8300,DUO_CARRY,BOTTOM,10.6,9.5,439.8,315.4,458.9,302.1,0.1,-0.1,59.1,14.2,149.9,57.9,-7.5,-112.2,1,FALSE,FALSE,1705,J Team,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Blue,497,14,4,UNRANKED,JT Ysera,673,Rakan,TRUE,3504,3109,2302,2055,1033,3158,3364,1,0,6,0,1,0,0,0,0,0,0,0,18267,5094,11106,2066,0,3345,2774,467,104,3333,4,10236,7706,3965,57,10,6080,4151,1767,162,9876,8075,2,0,51,4,0,0,24,12,9,0,31,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,1722,0,0,8242,4,0,0,8429,64,15,12,8453,427,665,0,8304,10,0,0,8313,0,0,0,8400,8300,DUO_SUPPORT,BOTTOM,1.9,1.4,344.9,300.7,366.6,197.7,0.1,-0.1,59.1,14.2,127.4,97.5,-7.5,-112.2,1,FALSE,FALSE,1705,J Team,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Red,150,12,4,UNRANKED,MAD Liang,4,Gnar,FALSE,1055,3155,3071,3111,1011,3052,3340,0,2,0,0,0,0,1015,0,0,0,0,0,132360,10317,120231,1811,264,7841,1400,6434,6,340,1,10851,564,564,23,26,13155,6204,6905,46,8949,8525,0,0,229,12,12,0,671,15,3,0,13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,602,0,0,8224,215,0,0,8234,22,0,0,8237,526,0,0,8435,2,0,0,8444,534,0,0,8200,8400,SOLO,TOP,9.1,8,493.4,464.1,325.7,259.8,-1.3,0.4,-74.4,14.8,442.9,226.2,70.2,0.6,1,FALSE,FALSE,1705,Mad Team,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Red,59,4,11,UNRANKED,MAD Kongyue,507,Jarvan IV,FALSE,1409,2032,1031,3111,3194,2424,3364,0,1,1,0,0,0,1654,0,0,0,0,0,106202,27404,69183,9613,0,2538,446,1938,154,6777,1,16744,1076,0,114,4,17996,5606,12164,225,7888,7700,0,0,28,112,83,4,478,12,6,0,59,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,191,0,0,8143,67,0,0,8136,24,0,0,8105,1,0,0,8313,0,0,0,8304,9,3,0,8100,8300,NONE,JUNGLE,1.2,0.2,409.8,347.2,290,279.7,-0.3,0.1,54.2,38.3,524.4,645,-93.7,-49,1,FALSE,FALSE,1705,Mad Team,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Red,13,4,7,UNRANKED,MAD Uniboy,637,Ryze,FALSE,3070,3001,2424,1058,3158,3165,3340,1,3,0,0,1,0,712,0,0,0,0,0,289147,129365,9781,150000,568,6483,6429,53,0,837,1,8923,0,0,23,17,10322,6249,3222,850,9659,9000,0,0,240,18,18,0,38,14,2,0,13,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,3,0,0,8313,0,0,0,8316,2985,0,0,8347,0,0,0,8234,16,0,0,8232,0,50,0,8300,8200,SOLO,MIDDLE,9.4,8.8,499.7,470.2,340.7,324.6,-1.7,-1.1,-106.8,-59.5,537.7,194.5,390.2,128.9,1,FALSE,FALSE,1705,Mad Team,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Red,18,4,7,UNRANKED,MAD Breeze,539,Tristana,FALSE,2423,3087,3086,3031,3097,3006,3363,0,0,0,0,0,0,0,0,0,0,0,0,143724,41071,99250,3402,503,6720,2157,4129,434,2676,4,6959,3101,0,23,5,4381,2397,1984,0,9956,9100,0,0,262,16,12,0,286,13,2,0,11,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,3881,0,0,9101,1740,4236,0,9103,24,40,0,8014,10,0,0,8313,0,0,0,8304,10,0,0,8000,8300,DUO_CARRY,BOTTOM,9.3,8.6,430.6,323.3,328.5,290.9,-0.1,0.1,-59.1,-14.2,42.9,181.6,7.5,112.2,1,FALSE,FALSE,1705,Mad Team,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Red,223,4,3,UNRANKED,MAD K,22,Tahm Kench,FALSE,3109,0,2303,2055,3111,0,3364,0,2,0,0,0,0,1005,0,0,0,0,0,14832,5969,3489,5373,0,1426,1402,23,0,3162,2,15594,713,0,66,6,15227,9597,5012,617,6711,6525,0,0,76,0,0,0,82,11,15,0,43,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,3,0,0,8313,0,0,0,8304,10,0,0,8339,0,0,0,8429,64,14,12,8444,862,0,0,8300,8400,DUO_SUPPORT,BOTTOM,3,2.5,235.9,264.4,231.4,177.3,-0.1,0.1,-59.1,-14.2,249.4,198.2,7.5,112.2,1,FALSE,FALSE,1705,Mad Team,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
