,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,J Team,Blue,TRUE,1,1705,FALSE,FALSE,8,1,25,759885,297109,311370,151400,45454,27577,16134,1740,16950,15,66041,70099,26316,223,82,48487,15589,32303,594,56533,49160,874,154,103,6,2255,71,21,0,116,46,35.5,28.5,2314.6,1904,2139.5,1303.3,1415.6,1140.6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9,1,1,2,1
2,Mad Team,Red,FALSE,1,1705,FALSE,FALSE,1,8,1,686265,214126,301934,170199,25008,11834,12577,594,13792,9,59071,5454,564,249,58,61081,30053,29287,1738,43163,40850,835,158,125,4,1555,65,28,0,139,45,32,28.1,2069.4,1869.2,1516.3,1332.3,1797.3,1445.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
3,Mad Team,Blue,TRUE,2,1861,FALSE,FALSE,21,6,52,909262,330639,361015,217604,61569,28240,27888,5438,41616,14,79567,69232,26611,258,77,79816,28098,49874,1839,67018,61783,921,211,129,18,1971,80,42,0,131,55,34.3,26.1,2285.9,1834.8,2068.2,1249.3,2030,1870.3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,10,1,2,1,1
4,J Team,Red,FALSE,2,1861,FALSE,FALSE,6,21,20,829031,204563,442368,182097,51639,24626,25171,1840,16375,13,70549,13756,3405,274,101,80171,29173,45556,5439,53602,53298,936,145,108,10,2086,69,30,0,145,37,34.3,28.3,2233.3,1765.8,1896.3,1302.1,2152.8,1651.1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,1,0
5,J Team,Blue,TRUE,3,2053,FALSE,FALSE,16,5,43,875065,383434,301633,189995,64838,42821,21031,985,35923,19,122879,49895,24898,322,69,100481,44015,55297,1168,64929,62493,949,171,122,14,1762,77,34,0,162,70,35.4,27.5,2193.5,1817.5,2000.5,1261.1,1853.1,1542.3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,9,2,1,0,0
6,Mad Team,Red,FALSE,3,2053,FALSE,FALSE,5,16,14,864337,350137,351644,162550,66803,38149,27485,1168,41375,13,69090,19400,6191,269,92,90749,46082,43679,985,55308,55125,946,192,143,4,1683,72,48,0,153,75,30.3,26.1,2112.5,1762.5,1698.1,1336.6,2182.6,1500.9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,2,0
7,Hong Kong Attitude,Blue,FALSE,4,2365,FALSE,FALSE,9,15,19,912521,468342,412989,31183,81153,38694,36743,5710,45375,12,71912,35191,6686,383,103,85595,35178,46431,3984,67455,64700,1165,182,147,5,1847,80,57,0,195,68,31.4,26.3,2132.1,1813.9,1982.6,1250.6,1810.1,1591.7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,1,1
8,ahq e-Sports Club,Red,TRUE,4,2365,FALSE,FALSE,15,9,34,1190593,619904,502785,67898,60616,32477,23939,4197,53767,11,112094,69474,31816,358,81,117190,40887,66375,9925,81450,74333,1298,277,159,33,1705,85,41,0,163,98,32.8,26.4,2075,1835.6,1852.8,1254,3064.2,1888.7,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,11,3,1,3,0
9,ahq e-Sports Club,Blue,TRUE,5,2227,FALSE,FALSE,16,6,44,1194578,447399,704537,42637,69953,28316,38299,3335,42705,13,129184,64344,25826,343,74,113586,40122,67499,5958,77578,68733,1167,285,175,42,1942,84,34,0,153,85,34.2,25.7,2350.8,1921.3,2121.8,1408.8,2361.2,1939.2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,9,1,1,2,1
10,Hong Kong Attitude,Red,FALSE,5,2227,FALSE,FALSE,6,16,10,1041787,281075,529304,231403,79407,35794,37649,5961,21626,8,108888,21649,5636,349,164,95597,31706,60552,3336,63661,59408,1193,191,131,11,4502,81,54,0,183,60,36,27.7,2209.1,1825.4,1805.1,1294.9,1981.6,1552.8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,2,0
