,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,Afro Beast,AFB ART,3,2,BOTCARRY,1829.6,3.8,1.2,2.8,5.5,180190.6,31346.2,145524.8,3318.8,14483,3243,10710.6,528.4,2246.6,2.8,7046.8,12256.2,5604,39.6,6,11650.8,5460.2,5850,339.4,12667.8,11201,1.6,0.6,268.2,21,13.2,2.4,648.2,14.4,5.4,0,12.8,11.6,0,0,0,0.2,0,9.32,7.76,396.76,304.54,374.34,268.82,359.5,261.52
2,Afro Beast,AFB Butter,3,2,JUNGLE,1829.6,1.6,3.8,6.4,2.105263158,116274.2,40659.2,64442.8,11171.4,5169.4,1670.8,2707.2,789.8,7071.8,2.2,19570.6,9982.6,554.8,61.8,17,23943.4,7493.4,14858.4,1590.6,9619.2,8660,0.2,0,26.6,111,77.4,8.2,703.8,13.4,12.4,0,41.2,10.6,0,0,0,0,0.4,0.56,0.34,356.26,314.6,293.42,254.36,797.92,588.24
3,Afro Beast,AFB MoonBlack,3,2,MID,1829.6,3.2,2.2,5.4,3.909090909,288124.2,181121.4,13521.8,93480.4,14712.4,13941,575,195.6,6137.2,1.6,11269.2,8317,2727.4,31.8,25.2,15613.2,7822.6,7578,212.2,13089.8,12065,0.8,0.2,268,40.8,26.8,6.6,3368.2,16.2,7.8,0,17.8,6.6,0,0,0,0,0.4,9.94,8.44,569.48,470.76,430.78,291.98,529.18,276.54
4,Afro Beast,AFB PingPong,3,2,TOP,1829.6,2,2,3,2.5,206579,8458,169196.8,28923.2,12846.6,1182.4,10676.8,986.6,3990.4,1.4,16890.2,9811.6,6537.2,28.2,16,22336.8,9480,12174.6,681.4,12454.8,11596.6,2,0.2,265.2,12,4.8,2.6,581.8,16,3.2,0,13.2,3.8,0,0.2,0,0.2,0.4,9.64,7.7,533.38,456.74,394.98,277.78,721.92,384.56
5,Afro Beast,AFB SkuLL,3,2,SUPPORT,1829.6,0.2,2.2,7.2,3.363636364,80056,9099,5405.6,65550.4,4710.6,3785.8,419.6,503.6,2348.4,3.2,6296.2,1306.4,642.8,62.4,16.2,9312,4611.2,4293.2,406.8,7393.2,6475,0.2,0,36.2,0,0,0,135.6,12.8,12.6,0,39.4,9.6,0,0,0,0,0.2,1.36,0.64,316.5,265.38,226.56,138.48,304.3,194.84
6,ahq e-Sports Club,AHQ Albis,8,7,SUPPORT,2336.8,0.333333333,3,6.4,2.244444444,114276.4667,7332.6,5498.733333,101444.5333,5121.666667,4146.2,538.8666667,435.9333333,5120.133333,4.6,19000.46667,1417.133333,327.9333333,102.8,20.66666667,17183.06667,7863.866667,8308.6,1009.866667,9381.666667,8321.666667,0.066666667,0.066666667,64.4,0.266666667,0,0,189.5333333,14,19.06666667,0,59.2,19.86666667,0,0,0.266666667,0.066666667,0.2,2.153333333,1.2,270.9133333,275.7466667,216.8133333,155.44,335.64,234.7133333
7,ahq e-Sports Club,ahq An,4,4,BOTCARRY,2270.25,3.125,1.625,4.625,4.769230769,299458.25,80204.75,213328.25,5924.125,24696.875,5646.375,17935.375,1114.25,4406.875,3.25,13263.625,18899.625,10938.875,60.25,10.625,14783.5,5911.875,8433.625,437.125,17356.5,15806.25,3.125,0.375,387.875,34,20.25,4.875,548.625,16.75,4.625,0,17.5,21,0.125,0.25,0.125,0.25,0.125,11.175,9.3875,422.1375,332.8,430.0375,304.3875,359.3625,223.575
8,ahq e-Sports Club,AHQ An,8,8,BOTCARRY,2346.375,3.6875,1.25,3.625,5.85,302247.5625,69356.125,226211.125,6679.8125,27163.75,6652.25,19528.4375,982.375,5423.75,3.0625,12192.5,22717.375,9364.0625,62.25,25.0625,16712.5625,7290.0625,8635.625,786.125,17517.3125,15575.9375,3.0625,0.5625,388.1875,29.9375,19.1875,3.9375,589.6875,16.4375,5.5,0,19.0625,23.75,0,0.375,0.125,0,0.3125,11.13125,9.11875,451.00625,317.475,409.04375,290.96875,311.50625,224.4375
9,ahq e-Sports Club,ahq LBB,2,5,BOTCARRY,2504.571429,2.285714286,1.857142857,2.571428571,2.615384615,279167.1429,78932.57143,193029.1429,7204.142857,17614.42857,4665.857143,12471.57143,476.1428571,2734.714286,2.571428571,12467.71429,13973.71429,5185.142857,57.42857143,14.85714286,16490.57143,6988,9149.571429,352.2857143,16682,15478.57143,1.714285714,0.142857143,381.2857143,25.57142857,19.28571429,2.714285714,515.8571429,17.28571429,5.428571429,0,18.14285714,23.42857143,0,0.142857143,0.142857143,0.142857143,0,9.957142857,8.471428571,391.1857143,318.3714286,381.0857143,281.5857143,333.8285714,214.4571429
10,ahq e-Sports Club,AHQ M1ssion,2,2,MID,2160.25,2.5,1.5,3.25,3.833333333,287269.25,221493.75,8543,57232,18397,18069.25,246,81.25,3238.75,1.25,11081.75,11342.25,2261,42.25,17.25,14644,7286,6932,424.75,14122.75,12902.5,1,0.25,311.75,27.5,20.25,1.25,153.5,16.5,5.75,0,22,9.5,0,0,0,0.25,0,11.1,8.475,602.975,481.725,412.6,289.1,358.025,231.225
