,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,creepsPerMinDeltas.20-30,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,xpPerMinDeltas.20-30,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,goldPerMinDeltas.20-30,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenPerMinDeltas.20-30,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole,creepsPerMinDeltas.30-end,xpPerMinDeltas.30-end,goldPerMinDeltas.30-end,damageTakenPerMinDeltas.30-end,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,csDiffPerMinDeltas.30-end,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.20-30
1,1,Blue,41,12,4,UNRANKED,GMB PVPStejos,4,Gangplank,TRUE,3047,1038,3078,3053,3508,1018,3363,2,1,9,2,1,1,1659,0,0,0,0,0,475111,4027,308522,162560,1251,16643,3011,11829,1802,6275,1,14690,10515,9427,39,16,19517,5608,13748,160,16225,14183,2,0,326,12,0,8,817,17,4,0,18,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,525,19,0,8304,9,0,0,8316,6166,0,0,8347,0,0,0,8473,694,0,0,8444,1061,0,0,8300,8400,DUO,MIDDLE,11.7,9,11.5,572.7,501,701.4,533.5,332.5,659.9,310.1,286.2,1131,1,FALSE,FALSE,1832,Gambit Esports,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Blue,48,11,4,UNRANKED,GMB Diamondprox,22,Trundle,TRUE,1413,3060,3047,3050,2055,1033,3364,1,1,11,0,1,0,716,0,0,0,0,0,168266,50929,99466,17870,0,3774,1551,1582,640,21578,1,34496,33948,2427,45,26,32677,7590,24721,366,10698,9475,2,0,12,162,103,15,997,15,11,0,14,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,0,0,0,9111,533,0,0,9105,16,30,0,8299,28,0,0,8234,18,0,0,8232,6,10,0,8000,8200,DUO,MIDDLE,0.4,0.1,0.7,434.3,309.7,525.6,325.8,278.3,374.7,1269,639.4,1254.8,1,FALSE,FALSE,1832,Gambit Esports,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Blue,3,12,4,UNRANKED,GMB Kira,4,Galio,TRUE,3116,3916,2055,1056,3001,3047,3364,1,1,9,0,1,0,714,0,0,0,0,0,267574,111443,6132,150000,0,7605,7442,163,0,2574,1,28660,734,439,44,18,17636,3309,14194,132,10807,9275,0,0,220,8,8,0,300,15,11,0,15,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,587,0,0,8473,995,0,0,8429,67,13,13,8451,248,0,0,8316,2241,0,0,8304,9,3,0,8400,8300,DUO,BOTTOM,8.1,7.4,6.2,425.3,461.4,500.2,318.5,262.6,408.2,549.6,453.3,571.6,1,FALSE,FALSE,1832,Gambit Esports,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Blue,498,4,7,UNRANKED,GMB Lodik,4,Xayah,TRUE,3508,2055,3094,3031,1033,3006,3363,8,1,6,7,2,1,703,1,0,0,0,0,186091,5118,176857,4116,881,17633,2214,15334,84,1532,3,6897,26187,7562,28,11,6798,1700,4934,164,14443,11895,3,0,275,8,4,0,64,15,5,0,10,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,998,0,0,9101,2205,4415,0,9103,15,10,0,8014,477,0,0,8233,21,30,0,8236,28,0,0,8000,8200,DUO,BOTTOM,9.4,7.6,9.8,405.3,294.6,568,390.4,295.2,595.7,220.7,134.3,225.5,1,FALSE,FALSE,1832,Gambit Esports,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Blue,497,14,4,UNRANKED,GMB Edward,18,Rakan,TRUE,3111,3107,2055,3092,3113,3114,3364,2,0,10,2,1,1,0,0,0,0,0,0,17336,7345,6640,3350,0,7138,4321,1212,1604,7327,7,14350,3918,892,81,24,10316,3195,6727,393,8383,8200,0,0,12,4,0,0,76,12,14,0,35,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2036,0,0,8473,300,0,0,8472,0,0,0,8242,9,0,0,8009,1295,53,0,9105,26,50,0,8400,8000,DUO,BOTTOM,0.3,0.3,0.6,237,288.7,443.9,260.1,187.4,315.6,284.1,188.8,558.7,1,FALSE,FALSE,1832,Gambit Esports,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Red,14,4,12,UNRANKED,KLG Nate,16,Sion,FALSE,1082,3083,3110,3047,3082,2055,3340,0,1,3,0,0,0,1793,0,0,0,0,0,138434,92159,44691,1584,0,10684,6812,3871,0,4133,1,41614,2287,0,27,28,19616,3995,13451,2169,9189,9350,0,0,234,0,0,0,2337,15,6,0,18,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1591,0,0,8226,250,817,0,8233,23,40,0,8237,360,0,0,8473,395,0,0,8429,67,20,10,8200,8400,NONE,JUNGLE,6.7,7.8,8.9,394.1,465.9,563.2,268.7,251.9,341.8,441.6,269.9,1250.1,1,FALSE,FALSE,1832,Kaos Latin Gamers,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Red,104,4,11,UNRANKED,KLG Tierwulf,4,Graves,FALSE,3140,3071,3006,1042,1412,1042,3364,2,4,0,0,1,0,509,0,0,0,0,0,170113,8476,147768,13868,0,10523,719,9311,492,9252,1,14204,13676,1032,50,20,22025,5689,15846,489,9983,9700,0,0,51,151,102,20,840,14,5,0,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,2082,0,0,9111,106,0,0,9104,19,50,0,8014,187,0,0,8234,22,0,0,8236,28,0,0,8000,8200,NONE,JUNGLE,1.3,0.7,3.1,428.3,326.6,493.3,331.8,246.2,363.8,654.2,487.7,730.3,1,FALSE,FALSE,1832,Kaos Latin Gamers,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Red,43,4,12,UNRANKED,KLG Plugo,551,Karma,FALSE,3020,3040,0,3504,1056,1058,3363,0,2,2,0,0,0,1613,0,0,0,0,0,261058,120555,15502,125000,0,9232,7275,1957,0,524,1,9077,3619,1128,27,21,8443,3548,4628,267,9398,8900,1,0,221,4,4,0,783,14,10,0,21,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,752,836,0,8243,15,0,0,8210,0,0,0,8237,288,0,0,8304,10,0,0,8316,689,0,0,8200,8300,NONE,JUNGLE,7.4,8,6.7,455.3,473.5,363.3,315.7,274.7,292.8,112.2,222.9,509.2,1,FALSE,FALSE,1832,Kaos Latin Gamers,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Red,202,7,4,UNRANKED,KLG Fix,4,Jhin,FALSE,3031,2055,3094,3508,0,3009,3363,2,2,0,2,1,1,1674,0,0,0,0,0,173601,13229,158787,1584,1584,15784,695,15089,0,2022,3,4064,9779,1545,24,17,4433,1509,2875,48,10959,10875,1,0,270,4,2,0,322,14,5,0,13,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,864,0,0,9101,1292,3940,0,9103,18,0,0,8017,1057,0,0,8234,28,0,0,8236,28,0,0,8000,8200,DUO,BOTTOM,9.9,7.8,9.3,450.7,308,440,396.9,259.8,382.7,60.4,116.1,53.7,1,FALSE,FALSE,1832,Kaos Latin Gamers,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Red,89,4,14,UNRANKED,KLG Slow,4,Leona,FALSE,3401,3190,2031,3117,0,0,3364,0,5,3,0,0,0,595,0,0,0,0,0,171589,8556,4760,158271,0,3510,2073,713,722,891,2,18038,1081,643,87,27,14984,5252,8573,1157,6622,6600,0,0,56,0,0,0,49,11,16,0,47,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,648,0,0,8473,475,0,0,8472,0,0,0,8242,8,0,0,8306,0,0,0,8316,204,0,0,8400,8300,DUO,BOTTOM,2.2,1.2,2.2,265.6,242.4,316.4,243,146.6,215.7,465.6,265.2,767.6,1,FALSE,FALSE,1832,Kaos Latin Gamers,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
