,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,Gambit Esports,Blue,TRUE,1,1832,FALSE,FALSE,14,4,45,1114378,178862,597617,337896,52793,18539,30120,4130,39286,13,99093,75302,20747,237,95,86944,21402,64324,1215,60556,53028,845,194,115,23,2254,74,45,0,92,47,29.9,24.4,2074.6,1855.4,1828.3,1356,2633.5,1702,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,1,2,1
2,Kaos Latin Gamers,Red,FALSE,1,1832,FALSE,FALSE,4,14,8,914795,242975,371508,300307,49733,17574,30941,1214,16822,8,86997,30442,4348,215,113,69501,19993,45373,4130,46151,45425,832,159,108,20,4331,68,42,0,113,43,27.5,25.5,1994,1816.4,1556.1,1179.2,1734,1361.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,1,0
3,Rainbow7,Blue,TRUE,2,2590,FALSE,FALSE,21,16,54,1264462,521349,528288,214821,107187,66209,34658,6319,56271,11,184427,117866,26076,312,173,140396,44850,85749,9792,81964,74270,1178,266,183,17,5757,88,50,0,136,59,31,28.3,2251.5,1925.2,1967.8,1320.4,2272.5,1438.5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,9,2,1,6,0
4,Ascension Gaming,Red,FALSE,2,2590,FALSE,FALSE,16,21,47,1119253,294668,758664,65921,101049,40842,50411,9793,47363,12,127761,53522,15253,340,168,142653,69777,66555,6319,81511,78980,1175,283,192,23,3686,88,45,0,164,54,27.3,26.9,2090.8,1914.5,1835.6,1287.6,2561,1292.2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7,1,1,0,1
5,Gambit Esports,Blue,TRUE,3,2230,FALSE,FALSE,20,15,47,993375,476197,357565,159610,116984,71828,38411,6741,74676,21,185212,75692,15684,255,143,133685,61511,65060,7107,69352,60530,969,230,170,0,2607,84,42,0,105,53,31.8,23.6,2126.6,1854,1605.2,1297.3,1910.2,1829.8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,1,1,3,1
6,Ascension Gaming,Red,FALSE,3,2230,FALSE,FALSE,15,20,43,858368,390149,431636,36580,99436,56829,35935,6666,74283,9,151141,73978,5948,220,225,167401,78835,81874,6688,61507,58258,923,195,162,0,3094,79,31,0,112,35,29.4,23.3,2153.5,1852.5,1607.3,1196.3,2546.3,2017.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0
7,Rainbow7,Blue,FALSE,4,1884,FALSE,FALSE,13,19,23,544055,215276,302722,26052,56168,37091,18008,1068,23776,10,82812,6713,0,205,112,90035,38741,46915,4374,49503,46025,840,154,111,6,9436,71,41,0,120,35,34.3,26.3,2157.6,1773,1528.7,1248.1,1779.1,1529.3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,1
8,Kaos Latin Gamers,Red,TRUE,4,1884,FALSE,FALSE,19,13,50,983501,351066,310672,321757,65745,36709,24656,4376,34406,9,62800,70326,21004,256,111,83270,38275,43924,1068,61412,50695,865,159,100,24,4878,77,50,0,135,46,33.7,23,2284.7,1765.8,1760.8,1171.1,1608.7,1417.5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,9,2,1,3,0
9,Kaos Latin Gamers,Blue,TRUE,5,1645,FALSE,FALSE,23,7,50,784675,303071,286734,194866,68157,38094,24767,5292,41741,15,69967,64924,19862,212,102,82442,30186,48295,3957,56923,51305,757,160,96,16,2060,73,43,0,113,38,31.8,23,2329.5,1931.8,1947.8,1497.2,3264.9,1896.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,1,1,2,1
10,Ascension Gaming,Red,FALSE,5,1645,FALSE,FALSE,7,23,15,661417,174540,313244,173631,51655,26311,21383,3958,24355,13,70432,15589,439,167,121,88615,39680,43639,5290,42160,40125,723,132,113,1,6884,65,25,0,101,29,28.6,23.5,2202.3,1707.8,1616.8,1251.9,3185.2,1828.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0
11,Rainbow7,Blue,FALSE,6,2185,FALSE,FALSE,9,16,20,1213829,450555,443039,320233,51133,28295,22000,834,34552,9,116987,21427,2426,224,153,107107,48129,55490,3484,61083,58035,1084,194,154,0,3894,83,35,0,107,44,31.1,26.3,2230.5,1938.6,1702.8,1311.1,2359,1639.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,0,0,1
12,Gambit Esports,Red,TRUE,6,2185,FALSE,FALSE,16,9,42,1070609,401879,548683,120043,80834,44913,32434,3485,31180,11,110768,85921,22158,270,257,86428,31961,53630,834,72079,66265,1021,250,174,12,2591,85,53,0,109,57,32.9,26,2414.6,1932,1851,1327.8,1738.7,1615.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,11,4,2,4,0
13,BAUSuperMassive eSports,Blue,TRUE,7,1925,FALSE,FALSE,12,7,31,878489,204829,528073,145583,64675,29353,30934,4384,62862,15,83974,81247,26472,241,85,105632,38360,61379,5890,60535,49083,889,155,107,12,1496,75,40,0,107,63,28.8,24.5,2135.5,1728.1,1790.8,1334.2,3518.2,1408,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9,1,1,2,1
14,Dire Wolves,Red,FALSE,7,1925,FALSE,FALSE,7,12,14,958748,215409,417197,326137,68537,32835,29806,5892,15776,10,79784,29833,6543,241,111,87799,31700,51710,4383,53426,51333,886,212,138,21,4156,71,37,0,140,40,30.7,25.7,2243.9,1858,1770.5,1293,2738.3,1416.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,2,0
