,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,csDiffPerMinDeltas.30-end,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.20-30
1,1,Blue,41,4,12,UNRANKED,TL Impact,7,Gangplank,TRUE,1051,3142,2424,3047,3053,3078,3340,3,0,6,3,2,1,0,1,0,0,0,0,191710,3559,179279,8871,652,16858,2334,14028,494,2492,1,8997,4298,3983,24,11,10878,1854,9024,0,13474,12133,1,0,248,6,1,4,515,16,2,0,14,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,395,21,0,8313,0,0,0,8304,9,3,0,8347,0,0,0,8429,64,14,10,8444,805,0,0,8300,8400,SOLO,TOP,9.8,7.7,566.4,463.7,517.6,315,-2.4,-0.1,-44.2,38.3,419.3,262.8,-60.5,-145.5,1,FALSE,FALSE,1687,Team Liquid,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Blue,79,11,4,UNRANKED,TL Xmithie,28,Gragas,TRUE,2055,3193,3047,1409,1011,1031,3364,0,0,9,0,0,0,0,0,0,0,0,0,136509,89265,28729,18514,483,4355,3413,707,234,13324,1,22735,14466,538,56,16,21894,6244,15649,0,9998,8325,0,0,26,136,97,16,661,14,9,0,22,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,0,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,8453,1195,133,0,8242,23,0,0,8300,8400,NONE,JUNGLE,0.9,0.2,469.4,319.4,363.5,230.1,0.2,-0.7,97,-51.3,867.3,588.4,-8.9,-93.1,1,FALSE,FALSE,1687,Team Liquid,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Blue,90,4,7,UNRANKED,TL Pobelter,7,Malzahar,TRUE,3116,0,3151,3165,1026,3158,3363,2,1,7,2,1,1,1329,0,0,0,0,0,162057,147331,12360,2365,0,10390,10161,229,0,180,1,6176,7918,4285,34,36,7063,4662,2308,92,12316,10950,3,0,260,18,13,4,527,16,6,0,17,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8313,0,0,0,8304,9,3,0,8347,0,0,0,8243,15,0,0,8234,12,0,0,8300,8200,SOLO,MIDDLE,9.7,9.5,567.6,486.6,441.3,331.8,-2.5,-0.4,-44.7,-13.9,273.8,19.1,-153.5,-40.9,1,FALSE,FALSE,1687,Team Liquid,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,Blue,18,4,7,UNRANKED,TL Doublelift,7,Tristana,TRUE,3140,3006,3031,3087,3097,3094,3363,5,0,5,5,1,1,1682,0,0,0,0,0,193067,56685,132123,4258,648,11534,2191,8893,450,3495,4,10157,34810,16594,40,5,4736,1760,2975,0,14046,12375,4,0,253,36,13,8,243,14,3,0,14,11,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,7398,0,0,9101,2900,5286,0,9104,17,20,0,8014,400,0,0,8313,0,0,0,8304,10,0,0,8000,8300,DUO_CARRY,BOTTOM,10.1,9.4,476.3,336,569.8,301,0.4,-0.2,107.3,5.35,193.2,164.7,-244.85,40.05,1,FALSE,FALSE,1687,Team Liquid,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Blue,44,3,4,UNRANKED,TL Olleh,7,Taric,TRUE,3190,2303,0,3070,3111,3114,3364,1,0,9,0,1,0,0,0,0,0,0,0,24845,5833,9813,9197,0,2689,1747,941,0,8884,5,14531,3448,1619,70,11,6455,2550,3905,0,9449,8150,0,1,82,0,0,0,32,12,16,0,47,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,2112,0,0,8242,7,0,0,8429,64,15,15,8453,1101,791,0,8345,4,0,0,8304,10,0,0,8400,8300,DUO_SUPPORT,BOTTOM,4.1,2.5,376.6,248.4,372,169.1,0.4,-0.2,107.3,5.35,211.7,124.8,-244.85,40.05,1,FALSE,FALSE,1687,Team Liquid,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Red,150,4,12,UNRANKED,TSM Hauntzer,4,Gnar,FALSE,1054,2031,3047,3082,3022,3071,3340,0,3,0,0,0,0,920,0,0,0,0,0,144111,10136,133975,0,0,7391,711,6679,0,695,1,11876,1223,1019,26,14,16197,2963,12729,504,10105,9075,0,0,271,0,0,0,908,15,3,0,15,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,791,0,0,8224,308,0,0,8210,0,0,0,8236,14,0,0,8429,64,15,10,8444,748,0,0,8200,8400,SOLO,TOP,12.2,7.8,610.6,425.4,420.4,261.9,2.4,0.1,44.2,-38.3,479.8,408.3,60.5,145.5,1,FALSE,FALSE,1687,Team Solo Mid,TOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,Red,102,11,4,UNRANKED,TSM MikeYeung,7,Shyvana,FALSE,3211,3047,1418,3022,1033,2055,3364,0,3,1,0,0,0,797,0,0,0,0,0,133462,66004,58459,8998,0,1989,1941,48,0,8045,1,16026,11720,0,74,0,23074,7116,15885,72,8680,8800,0,0,30,138,89,4,564,12,7,0,23,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,0,0,0,9111,0,0,0,9105,21,40,0,8014,17,0,0,8313,0,0,0,8304,10,0,0,8000,8300,NONE,JUNGLE,0.7,0.9,372.4,370.7,316.1,269,-0.2,0.7,-97,51.3,876.2,681.5,8.9,93.1,1,FALSE,FALSE,1687,Team Solo Mid,JUNGLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Red,13,4,7,UNRANKED,TSM Bjergsen,4,Ryze,FALSE,3111,0,3027,3140,3040,3157,3340,1,0,0,0,1,0,0,0,0,0,0,0,195517,179484,16032,0,735,8313,8217,95,0,3136,1,11416,2675,2129,24,15,9157,4380,4596,180,10993,10750,1,0,293,8,8,0,31,15,2,0,13,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8304,9,3,0,8347,0,0,0,8226,1620,0,0,8234,26,0,0,8300,8200,SOLO,MIDDLE,12.2,9.9,612.3,500.5,410.8,312,2.5,0.4,44.7,13.9,427.3,60,153.5,40.9,1,FALSE,FALSE,1687,Team Solo Mid,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,Red,429,4,7,UNRANKED,TSM Zven,7,Kalista,FALSE,3047,3153,3085,1033,3097,3086,3363,0,2,0,0,0,0,784,0,0,0,0,0,129274,306,122793,6175,256,7294,231,7063,0,2023,4,7957,942,855,34,17,6304,3155,3149,0,10218,9900,0,0,279,3,3,0,579,13,2,0,8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9101,2291,5285,0,9104,20,40,0,8014,0,0,0,8134,0,0,0,8143,318,0,0,8000,8100,DUO_CARRY,BOTTOM,10.4,9.7,374.7,317.3,351.8,306.3,-0.4,0.2,-107.3,-5.35,344.7,105.3,244.85,-40.05,1,FALSE,FALSE,1687,Team Solo Mid,BOTCARRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Red,12,4,14,UNRANKED,TSM Mithy,23,Alistar,FALSE,3067,2031,3117,2303,0,1031,3364,0,3,1,0,0,0,794,0,0,0,0,0,17035,6073,3586,7375,0,2582,2177,312,92,3086,5,14519,301,0,63,21,10965,4080,6463,422,7024,5700,0,0,78,0,0,0,64,11,10,0,36,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,0,0,0,8306,0,0,0,8321,4,0,0,8339,0,0,0,8444,474,0,0,8429,64,14,10,8300,8400,DUO_SUPPORT,BOTTOM,3,2.6,263.6,256.4,252.4,176.3,-0.4,0.2,-107.3,-5.35,549.9,104.1,244.85,-40.05,1,FALSE,FALSE,1687,Team Solo Mid,SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
