,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
1,Team Liquid,Blue,TRUE,1,1687,FALSE,FALSE,11,1,36,708188,302673,362304,43205,45826,19846,24798,1178,28375,12,62596,64940,27019,224,79,51026,17070,33861,92,59283,51933,869,196,124,32,1978,72,36,0,114,32,34.6,29.3,2456.3,1854.1,2264.2,1347,1965.3,1159.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,10,1,1,2,1
2,Team Solo Mid,Red,FALSE,1,1687,FALSE,FALSE,1,11,2,619399,262003,334845,22548,27569,13277,14197,92,16985,12,61794,16861,4003,221,67,65697,21694,42822,1178,47020,44225,951,149,100,4,2146,66,24,0,95,38,38.5,30.9,2233.6,1870.3,1751.5,1325.5,2677.9,1359.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,0,0,2,0
3,100 Thieves,Blue,TRUE,2,3873,FALSE,FALSE,9,7,27,1805377,787419,894810,123143,112531,64901,38983,8643,63161,18,425821,131105,24951,609,123,226866,94183,116006,16673,120533,112358,1938,320,199,38,3506,90,37,0,245,144,38.2,29,2319.7,1922.3,1862.8,1263.7,1557.1,1584.7,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,3,3,5,0
4,OpTic Gaming,Red,FALSE,2,3873,FALSE,FALSE,7,9,17,1987680,948174,823923,215576,187337,90147,80510,16674,53251,17,204169,90917,12236,570,604,158810,70935,79227,8643,114382,101760,1718,362,238,29,7713,90,45,0,300,101,33.8,27.8,2244.2,1967.1,1904.1,1374.8,1962,1219.2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,7,1,2,1,1
5,Clutch Gaming,Blue,TRUE,3,2343,FALSE,FALSE,7,2,18,1225506,525247,622599,77651,62825,31514,29559,1749,21867,11,73316,97763,28490,340,138,61185,30989,29637,555,81559,74178,1329,254,114,69,2891,86,43,0,174,88,36.9,29.2,2324.3,1978.5,1989.9,1385,1362,1245.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,11,3,2,3,1
6,Golden Guardians,Red,FALSE,3,2343,FALSE,FALSE,2,7,7,958976,583822,342701,32450,40670,28412,11700,555,52151,15,89996,9963,0,354,38,92332,35095,55488,1749,65824,62535,1367,165,113,20,1255,83,43,0,195,77,37.4,30.2,2342.9,1850.2,1701.4,1300,2289.9,1456.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0
7,Echo Fox,Blue,TRUE,4,1743,FALSE,FALSE,15,2,40,884746,330834,379826,174083,69084,34864,31753,2462,48716,10,79436,65790,20993,260,63,73688,24992,44809,3886,62823,53900,997,214,132,26,1888,75,36,0,110,67,37.1,31.3,2453,1940.5,2165.3,1412.1,1641.2,1657.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9,1,1,2,1
8,FlyQuest,Red,FALSE,4,1743,FALSE,FALSE,2,15,7,542992,205778,295978,41232,38835,20633,15213,2987,23578,12,79678,9417,783,210,87,84350,36040,46745,1564,45725,44333,882,139,110,0,5516,66,26,0,119,32,34.7,27.5,2042.3,1828.5,1590.7,1249.4,2265.6,1492.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0
9,Counter Logic Gaming,Blue,FALSE,5,2076,FALSE,FALSE,8,12,19,855026,321531,353901,179589,55584,33869,20618,1094,30345,16,97065,12075,5103,308,151,87096,34038,49436,3618,59235,57285,1061,191,142,22,3189,75,41,0,153,69,37.3,27.3,2293.9,1822.7,1823.2,1338,1846.3,1603.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,0
10,Cloud9,Red,TRUE,5,2076,FALSE,FALSE,12,8,34,925622,392476,497332,35811,67438,31994,31823,3619,23940,17,82624,49256,23057,338,108,81527,36999,43428,1094,66913,55833,1059,185,123,9,2878,80,39,0,168,70,37,26.4,2527.6,1779.6,1872.2,1247.7,2387.3,1506.7,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,8,1,1,2,0
11,OpTic Gaming,Blue,FALSE,6,2208,FALSE,FALSE,6,13,15,897921,417019,296931,183968,46005,30221,13945,1835,13955,13,107098,19854,4712,369,77,71633,25006,45901,724,60290,56745,1087,199,146,1,3401,77,35,0,206,61,32.9,28.9,2128.5,1808.3,1787.5,1325,1931.8,1093.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,2,0
12,Team Liquid,Red,TRUE,6,2208,FALSE,FALSE,13,6,45,921147,371916,520025,29205,51861,22810,28323,724,23551,11,95846,57290,22284,341,149,83052,34989,46227,1835,72299,64625,1239,223,146,22,3686,82,45,0,137,118,38.2,29.7,2281.6,1886,2077.6,1287.6,2008.8,1327,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,8,1,1,2,0
13,FlyQuest,Blue,TRUE,7,3031,FALSE,FALSE,14,9,42,1504662,548552,750421,205684,85208,41541,42290,1372,71828,15,194182,115449,26854,433,118,146501,83894,52265,10337,99233,89550,1527,332,190,48,4697,90,39,0,179,95,37.1,32,2250.2,1934.7,1720.8,1346,1975.4,1477.3,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10,4,4,2,1
14,Team Solo Mid,Red,FALSE,7,3031,FALSE,FALSE,9,14,23,1601803,840584,522804,238409,112713,78497,24376,9834,40464,13,154590,44616,11349,436,177,123323,46638,75812,870,91805,94000,1593,258,197,20,4382,89,41,0,237,70,38.6,30.6,2447.5,1964.5,1930.7,1341,1695.1,1602.7,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,3,0
