,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
1,Alistar,SUPPORT,9,16,2192.64,0.36,3.16,6.16,2.063291139,70549.48,7780.68,5941.84,56825.92,4465.32,3501.12,405.88,557.8,7879.36,4.96,30081.24,1021,518.88,83.68,26.68,19706.76,9263.44,9527.04,915.64,8621.6,7805,0.08,0,57.4,0,0,0,66.56,13.36,16.28,0,52.28,10.92,0,0,0.28,0,0.2,1.904,1.508,275.636,274.908,220.456,159.64,365.808,244.596
2,Anivia,MID,0,2,1841,0,1,0.5,0.5,322547,164409.5,6722.5,151415,8007.5,7723.5,284,0,5564.5,1,7484.5,1287,224.5,33,22,13850,7403.5,6040.5,405,10894.5,10292.5,0.5,0,295.5,14,12,2,3734.5,15.5,7,0,19.5,9,0,0,0,0,0,11.15,8.15,576.15,476.65,389.9,273.05,236.65,164.7
3,Ashe,BOTCARRY,3,3,1837.333333,3.5,1.666666667,5.333333333,5.3,185341.1667,2745.5,175932.5,6662.666667,18519.66667,1807.666667,16540.66667,171,2710.166667,2.666666667,5184.5,11283.5,6187.666667,39.33333333,36.83333333,9363.833333,3996,4835,532,12947.83333,11204.16667,1.833333333,0.333333333,285.8333333,9.166666667,5.666666667,1.333333333,2737.166667,14.5,4.833333333,0,13.16666667,11.33333333,0,0.333333333,0.166666667,0.166666667,0.333333333,10.85,8.9,476.35,315.0833333,446.6666667,281.2333333,194.3166667,188.15
4,Aurelion Sol,MID,0,1,2105,3,2,4,3.5,228216,219636,8154,425,23284,22562,296,425,2752,1,12010,2216,450,27,35,21332,6885,13286,1161,13542,12675,0,0,331,8,8,0,1144,17,9,0,14,10,1,0,0,0,0,10.1,8.2,537.8,472.6,403.7,311.2,517.6,219.4
5,Azir,MID,19,13,2217.84375,3.5,1.40625,3.8125,5.2,263324.7188,241064.8438,14245.71875,8013.21875,22599.75,21508.6875,614.34375,476,2098.9375,1.71875,8161.59375,18270.6875,4978.59375,44.75,9.90625,13094.6875,6611.40625,5925.53125,557.03125,15784.65625,14393.75,1.75,0.40625,345.78125,29.65625,19.84375,4.8125,317.5625,17.0625,5.96875,0,16.96875,13.46875,0.09375,0.125,0.03125,0.21875,0.25,11.003125,8.89375,573.128125,487.740625,431.3375,305.334375,306.14375,180.3375
6,Bard,SUPPORT,2,0,2459.5,3,3.5,9.5,3.571428571,29406,21188,5828,2388.5,11821,9022.5,1707.5,1090,4729.5,4.5,10488,5476,1762.5,124,33,14347.5,7588.5,6484,274.5,11393.5,10537.5,0.5,0,26,2,0,0,182.5,15,19.5,0,71,21.5,0,0,1,0,1,0.95,0.2,318.2,282.7,256.15,159.6,168.95,187.2
7,Blitzcrank,SUPPORT,1,1,2222,0,3.5,6,1.714285714,91894.5,6401.5,5879.5,79612.5,3962.5,3006.5,830,125,2301.5,3.5,9251,2346.5,1324.5,79.5,16.5,16721.5,10500,5616,604.5,8174,7550,0,0,30.5,0,0,0,63.5,13,21.5,0,57.5,9,0,0,0.5,0,0.5,0.85,1.35,199.05,277.45,185.65,176.75,242.15,264.1
8,Braum,SUPPORT,37,29,2253.636364,0.439393939,2.060606061,6.757575758,3.492647059,96839.57576,9503.393939,8538.939394,78796.24242,5522.848485,4798.19697,500.2272727,223.8636364,4026.878788,4.333333333,23475.5303,2421.075758,744.5151515,88.84848485,29.27272727,18590.71212,8467.257576,9065.818182,1056.969697,9641.621212,8714.69697,0.257575758,0.090909091,76,0.363636364,0.060606061,0,526.3181818,13.84848485,15.65151515,0,53.34848485,12.22727273,0.03030303,0,0.227272727,0.045454545,0.257575758,2.595454545,1.618181818,286.2772727,273.5469697,244.1242424,160.880303,331.2075758,226.5318182
9,Caitlyn,BOTCARRY,19,20,2132.897436,2.820512821,1.846153846,3.256410256,3.291666667,277159.7692,53836.97436,218007.9231,5314.205128,23533.5641,3861.25641,18789.33333,882.3333333,3265.74359,2.769230769,8587.846154,17733.05128,6541.230769,39.66666667,25.41025641,10582.23077,4408.230769,5793.794872,379.4615385,14893.89744,13748.46154,2.025641026,0.512820513,338.4615385,19.82051282,12.23076923,2.205128205,185.7692308,15.12820513,4.102564103,0,12.97435897,14.35897436,0.025641026,0.205128205,0.051282051,0.230769231,0.076923077,10.53846154,8.961538462,427.7230769,319.5871795,399.8923077,291.9435897,226.4589744,183.2076923
10,Camille,JUNGLE,1,0,2236,4,0,3,Inf,193275,7616,137708,47949,11177,288,7670,3218,15882,1,25218,22990,3364,124,15,32820,12144,20381,294,13706,12733,3,0,51,158,101,19,723,17,15,0,75,14,0,1,0,0,1,0.2,0.8,435.1,359.9,341.2,270.9,1007,702.6
